,title,internal_id,url,description,responsibilities,qualifications,company,location,department,publish_date
0,法务&合规线 Legal Counsel Hongkong,4DDekkyGuFzWa6MduD3mjg%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=4DDekkyGuFzWa6MduD3mjg%3D%3D,"We are seeking a Legal Counsel who will assist in listing compliance and corporate governance. This position will be stationed in the Hong Kong office and will be one of the members of the listing compliance and corporate governance team of the legal department, with primary responsibilities as follows: -Provide legal support on day-to-day Hong Kong regulatory compliance for listed issuer, including advising on the Hong Kong Listing Rules, Securities and Futures Ordinance and Takeovers Code; -Ensure Listing Rules compliance and identify and analyze legal risks; -Review a wide variety of commercial agreements in both Chinese and English; -Assist in the maintenance and enhancement of good corporate governance structure including the updating and maintenance of company’s policies; -Supervise offshore corporate secretarial matters, including statutory compliance of offshore subsidiaries such as annual reporting, other statutory and regulatory filings and maintenance of corporate records; -Keep abreast of the latest regulatory requirements to update senior management; -Assist in corporate commercial matters; -Provide legal support for ad hoc projects.","-Hong Kong qualified lawyer with 5 years PQE or above in corporate law and regulatory compliance with a leading law firm and / or major Hong Kong listed company; -Strong knowledge in Hong Kong Listing Rules, Securities and Futures Ordinance and Takeovers Code, and other related regulatory compliance requirements; -Strong experience with public company reporting and compliance, and corporate governance issues and practices; -Track record of commercial and corporate practice; -Highly motivated and good team player; -Excellent verbal and written communication skills, highly organized and attentive to details; -Fluency in Mandarin and English.",,Alibaba,Hong Kong,香港上市子公司上市合规,2022-08-11 06:07:05
1,Cainiao Network Last Mile Delivery Operation Executive Global Export BU,%2FKcKOCCKS_8luJd9lcQWDg%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=%2FKcKOCCKS_8luJd9lcQWDg%3D%3D,"1、Source and recruit parcel delivery partners (fleet and last mile distributor), to build a parcel delivery network; 2、Mexico land trunk line transportation management, distribution station management, last mile network planning，to ensure the normal operation of the parcel network； 3、Responsible for lead time, complaint rate, average cost and other indicators; 4、Find and solve problems through on-site and data, and find ways to reduce costs and improve timeliness.","1、Be familiar with the partners delivery process and last mile network construction, with at least 3-year experience in this field; 2、Can adapt to travel to other regions to a certain extent, with entrepreneurial spirit and problem-solving ability, and willing to find opportunities on the spot; 3、Excellent communication and execution skills； 4、Spanish as mother tongue, communicate in English smoothly.",,Alibaba,"Mexico City,Mexico",拉美地区运营,2022-06-30 10:55:22
2,Cainiao Network Port Manager Global Export BU,vf4dwZNOGfkLSVOZkToYQw%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=vf4dwZNOGfkLSVOZkToYQw%3D%3D,1. Be in charge of the operation at JFK port for all importing shipments and all port-related business. 2. Be responsible for managing the shipments from linehaul landing to the delivery to the last mile partner. 3. Be responsible for truck network arrangement and ensure an on-time performance of trucking operation.,"1. Be familiar with the cross-board logistics business, at least 2 years experience related to port operation. 2. Enthusiasm, optimism, and strong teamwork skills are required. 3. Strong critical thinking and quick learning ability are required. 4. Ability to execute the action quickly.",,Alibaba,"Chicago,Illinois,United States",美洲区域,2022-07-05 14:38:42
3,Ant Group IT & Operational Risk Lead ANEXT Bank,ukqOWJkrcO5pYmqh6iOFHQ%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=ukqOWJkrcO5pYmqh6iOFHQ%3D%3D,"This second line role reports to the Chief Risk Officer. Key Responsibilities: - Develop, implement and maintain the framework (policies and procedures, templates) for Operational Risk Management (“ORM”) and its underlying sub-risk types; and monitor the adequacy of the framework. Examples of ORM sub-risk types include business resilience, technology, third party and outsourcing, data governance, and new product - Act as subject matter expert (SME) and advise on the implementation of the ORM framework including risk assessments, due diligence assessments and policy dispensations - Initiate and oversee risk and control activities such as business process mapping, risk and control self-assessment (“RCSA”) and Business Continuity Management (“BCM”) testing - Conduct risk assessments of technologies or processes where required, e. g. Business Impact Analysis (“BIA”), third party and outsourcing due diligence, new product assessment, etc. - Facilitate the risk acceptance process that evaluates risk and compensating controls, identify risk owners and set conditions on risk acceptance and obtain approval for the same - Work with the Organisation’s “Alpha Risk” team in implementing Fraud rules, using a combination of best practices, AI and ML tools. Monitor changes to fraud landscape, industry (e. g. digital banking, fintech and payment) practices and technologies; and enhance the fraud risk strategy to ensure the firm implements adequate controls across FRM to address these changes - Monitor new regulatory requirements, conduct gap analyses against new regulations / guidelines and the ORM framework, to ensure compliance - Assign and communicate the responsibilities and authorities of relevant roles - Participate in IT, information and cyber security incident responses and review related incident reports submitted to regulators - Develop and provide training for employees to promote risk awareness and ensure relevant employees are trained on the policies for OR and its sub-risk types - Define and propose risk management metrics (e. g. key risk indicator / key control indicator) to monitor the risk and control environment; and periodically report to the risk committees to support senior management in risk oversight and governance - Monitor that employees / personnel and service providers implement controls that achieve the ORM’s objectives and is sustainable; including the appropriateness and effectiveness of processes for the identification, management and control of OR risks - Monitor and provide oversight on issues and remediations - Identify and report high risk, emerging risk trends and key issues to risk committees - Design, implement and maintain risk management tools - Support internal and external audit / assessment engagements","- Bachelor's degree in computer science / engineering, information systems or related domains - 10+ years of experience in either information security, risk management or audit and compliance in technology and operational areas, preferably within the financial industry - Familiar with technology and operational risk regulatory and legislative requirements (e. g. MAS Notice 644, Notice 655, TRM guidelines, Guidelines on Risk Management Practices, Business Continuity Management Guidelines, Guidelines on Outsourcing, Cloud Advisory, Banking Secrecy Act, Cyber Security Act and Personal Data Protection Act) and industry standards (e. g. ITIL, SANS, NIST, ISO 27001 / 2) - Professional certification such as CISSP / CISA / CISM / CRISC / CDPSE will be an added advantage",,Alibaba,"Singapore,Singapore",新加坡银行风险,2022-08-08 07:05:29
4,Ant Group Front End Developer ANEXT Bank,reB%2FJgdTRsvaa8qxB1fNfg%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=reB%2FJgdTRsvaa8qxB1fNfg%3D%3D,"- Work closely with various stakeholders (product managers, UEDs, Solution architects and business) to build next generation consumer experiences - Analyse the business requirements and translate to technical specifications - Implement web-based applications within all phases of the Software Development Life Cycle (SDLC) - Drive components contribution and reusability across platforms","- 3+ years of relevant Web front-end development experience - Proficient in native JS(ES6), CSS3, HTML5, W3C standard specifications and HTTP protocols - Experience in Mobile Web development and performance optimization, Hybrid and applet development - Proven knowledge in JavaScript and web technologies (HTML / CSS) - Advance knowledge on at least one of the languages, such as - Familiarity with modern front-end build pipelines and tools - Hands on experience on at least one of the following JavaScript frameworks - React, Vue, Node. js and Angular - Knowledge on Flutter will be an added advantage - A reliable team player that is able to perform in a fast-paced environment - Strong communication abilities to collaborate with stakeholders at all levels – (business, product, design, and development)",,Alibaba,"Singapore,Singapore",新加坡技术,2022-08-10 10:03:27
5,Alibaba Cloud Intelligence Business Development Manager (Financial Industry) Hong Kong,kylKCublSDy8BSgEmo%2F5AA%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=kylKCublSDy8BSgEmo%2F5AA%3D%3D,"1. Establish relationships with new clients and secure contracts to achieve assigned sales quotas and targets. 2. Maintain a high level of relevant domain knowledge in Financial Industry in order to have meaningful conversations with prospects. 3. Prospect for potential customers using various direct methods such as calling and face to face meetings, and indirect methods such as networking to develop Public Cloud and Fintech opportunities. 4. Drive the entire sales cycle from initial customer engagement to closed sales 5. Work with marketing to plan and execute lead generation campaigns.","1. Bachelor's degree in business or technology. >5 years technology related business development or sales experience. 2. Effective communicator and team player. 3. Proven track record of territory growth and quota attainment covering financial accounts in Hong Kong. 4. Familiar with Fintech & Public Cloud Computing. 5. Fluency in English, Mandatin & Cantonese.",,Alibaba,Hong Kong,HTMP,2022-04-02 07:44:20
6,Alibaba Group TP Operation Specialist Ecosystem,S_fPnxC5uc%2FPE6I%2F7kY91w%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=S_fPnxC5uc%2FPE6I%2F7kY91w%3D%3D,"1. Maintain Alibaba Eco-system partner pool to latest, covering Alibaba Eco-system partner business model, served category, whole chain capability assessment. 2. Design and implement Alibaba Eco-system partner In-Out Rule, tier and certificate in quarterly basis, to recognize TOP performer with incentive scheme and improve Low Performer Alibaba Eco-system partner performance. 3. Design and monitor Alibaba Eco-system partner performance dashboard, such as brands acquisition by Alibaba Eco-system partner, Brand Alibaba Eco-system partner map and confirm, GMV, traffic, conversion, etc. 4. Per Brand Alibaba Eco-system partner needs, propose most appropriate candidate Alibaba Eco-system partner per category and business model to mall team and build linkage with Brand, follow Alibaba Eco-system partner financial mode and business plan solution. 5. Identify and closely follow Alibaba Eco-system's partner brand acquisition status, non-disclosure agreement (NDA) sign till brand agree onboard to platform, timely input into system. 6. Support Alibaba Eco-system partner onboarding process, account set up, product posting, store decoration and etc.","Minimum qualification: - 3 years of experience in E-commerce operation from brand, or marketplace in function of category operation or seller management - Approved project management skills, scientific problem solving, strong execution with result - Influencing power, and strong cross-team collaboration - Proficient in Business English Preferred qualification: - Preferred category of female category, such as FMCG / Fashion & beauty - Thrive in fast-pace environment, energetic and adaptive to change - MBA nice to have - Spanish Language",,Alibaba,"Madrid,Spain",Ecosystem,2022-08-09 20:06:29
7,Alibaba Group Procurement Manager (APAC) Singapore,e7uYbBLxoUBhD6PqQIzGJw%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=e7uYbBLxoUBhD6PqQIzGJw%3D%3D,"1. Be a subject matter expert in procurement and manage the indirect procurement categories (Admin, IT, Marketing, Professional Services etc. ) for the portfolio assigned. 2. Regularly conduct spend analysis and proactively engage with internal stakeholders to address business opportunities and needs to drive value in the region – efficiency, quality, cost reduction, agility, etc. 3. Constantly conduct market study and research to obtain knowledge and understanding to the supply market trend. 4. Develop and execute procurement strategies and plans. Manage Sourcing to Contracting (S2C) and oversee Procurement to Payment (P2P) process. Ensure quality delivery of results and satisfactory procurement experiences. 5. Monitor supplier performance and compliance with contractual terms and conditions. Develop and maintain healthy relationship with the suppliers, and connect and communicate with their management team. 6. Develop best practices and benchmarks. Ensure procurement teams understand, align, and adhere to procurement policies and guidelines. 7. Support APAC and Global Procurement leaders in rolling out of Group Procurement strategy. 8. Based in Singapore. May be required to travel within APAC region, as appropriate and needed.","1. Bachelor's or above 2. Min 8 years of indirect procurement experiences. Experiences in Marketing related categories is a plus. 3. Prior experience with large MNCs in APAC region is highly valued 4. Proven ability to develop and implement Procurement strategy and plans across Business Units 5. Well-versed with procurement practices including but not limited to direct-buy, 3rd-party comparison, tendering, and bidding 6. Ability to balance long term strategic procurement direction, with the day-to-day operational challenges and requirements. 7. Strong communication and analytical skills, and ability to present analysed information concisely 8. Adaptable to rapidly changing business dynamics in a fast-paced environment",,Alibaba,"Singapore,Singapore",Global Procurement Center,2022-05-10 11:19:38
8,Alibaba-COO Local Marketplace Key account manager-Beauty & Health,fRu1JXF1l9JMPLvS2xpC1g%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=fRu1JXF1l9JMPLvS2xpC1g%3D%3D,"This position is responsible for the management of a portfolio of key sellers in the beauty and health industry composed of the main retailers and distributors in the market already on the platform, including the responsibility of GMV growth, negotiation at the C-level of the strategic plan, the definition of the growth strategy, and execution, and guidance to grow in the platform - Business development capability to convince relevant retailers and distributors to cooperate with Alibaba in a win-win relationship and owning the sales performance of a set of sellers in his book of business. Negotiating with key sellers and promoting the relevant local selection, negotiating price advantage, and ensuring that the business goals are achieved. Prioritize seller growth based on market opportunity, product mix, and price advantage. Understand the main distributors in Spain for the beauty and health industry. And understand key insights of market demand to drive sales with multicategory sellers. - Commodity operation: analyze the user's demand for commodities, enrich the market supply, and formulate the annual product promotion rhythm according to the season and life cycle of commodities. Exploit the seasonality of certain categories through seller operations. - Mantain a good relationship with the key account in his portfolio with positive feedback loops. - Seller operations: provide key sellers guidance within Alibaba platform operations, usage of marketing tools, and advertising solutions, amongst others. Bring strong relationships; be a trusted advisor and the single point of contact. - Negotiation of product and price based on market demand - Systematic understanding of new business opportunities and implementation with sellers - Seller operations capability with an understanding of service metrics, content metrics, and marketplace dynamics - Understanding of the margin chain in the industry, pricing, and trends. - Analytical thinking capability for data handling and application to solve problems, with independent thinking. - Technical guidance; high-level understanding of main integration method between seller ERP systems and marketplace (API, middleware, CMS modules, etc. ) - Methodology development: comprehensive analysis basic on multi-dimensional data systems, to make business choices to deliver KPI.","- Full-time undergraduate degree or above, with plus 2 years as KAM in a marketplace or distributor / retailer / brand as head of marketplace operations. Is a must to have experience in seller operation experience and platform operation experience, familiar with distributors, retailers, brands, and business models, and familiar with e-commerce platform operation. s - Language: Fluent in English and Spanish are a must. - Horizontal projects leadership capability. - Good communication skills and teamwork spirit. - Strong ability in data processing and analysis, Excel proficiency. Location: based in Madrid , Spain Hybrid work: Maximum 2 days from home",,Alibaba,"Madrid,Spain",Arise,2022-08-10 12:33:19
9,Alibaba-Commercial Brand Management Brand Manager Health&Beauty,Zhjii31HKisJuObsMzDwBw%3D%3D,https://careers.alibaba.com/positionDetail.json?_api=getPositionDetail&_mock=false&positionId=Zhjii31HKisJuObsMzDwBw%3D%3D,"1. Participate in the creation of the JBP and follow the performance to ensure agreed targets with each brand. Participate in the review in a weekly, monthly and quarterly bases. 2. Support the Brands in their daily operation activity in the platform offering guidelines and help when needed. 3. Manage the negotiated marketing funds from brands to ensure external traffic resources, in app visibility, search boost tools, campaigns exposure and any other marketing activity to boost GMV. Coordinate with internal teams promotional, marketing and traffic resources to balance brands investment. 4. Ensure brand full product assortment and price competitiveness to get most traffic to the Brand Flagship Stores. 5. Negotiate with brands promotional deals for special marketing and promotional activities. Coordinate with internal stakeholders brands special events. 6. Promotional planning: Anticipate seasonal promotional calendar set up matching markets trends and customer needs. 7. Manage main brands performance metrics (GMV, traffic, ASP, CR, SNAD, NR…) by internal data sources and use the data to improve brand performance. 8. Support brands on technical guidance to scale up brands connect their catalogue with ISV, basic support needs to be given.","1. Degree in Economics, Engineering or Sciences (Post-graduate / Masters, especially MBA from top tier school is a plus). 2. 3-5 years of professional experience in a vendor account management, project management, and / or buyer position. 3. 2+ years of experience in an ecommerce platform, or in an online channel with minimum market place knowledge. 4. Strong business judgment with a track record of successful relationship management. 5. Solid analytical skills (including advanced excel and database analysis). 6. Proofed track record of strong negotiation skills. 7. Excellent inter-personal skills, being able to work collaboratively across internal and external teams in a decentralized work environment.",,Alibaba,"Madrid,Spain",Arise,2022-08-10 12:27:18
