,title,internal_id,url,description,responsibilities,qualifications,direction,company,depart_company,LocationName,publish_date
0,银泰商业 品控专家 杭州,fPrFnpjW1kpAz3Z9h9Lmqg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=fPrFnpjW1kpAz3Z9h9Lmqg%3D%3D,喵街新商场是赋能传统百货的新商场数字化场景，为银泰会员提供全域卖货产品解决方案的全新平台，实现银泰集团&手淘会员通、线上线下商品通、库存通、销售和会员数据通的新商场系统。 全域卖货是基于银泰的百货商品重构银泰全渠道的销售通路与场景，建立线上线下融合的新零售业业务，其中商品数字化是新零售关键的能力建设。 职位描述： 1. 紧跟业务和行业发展变化，搭建平台商品质量体系、树立标准 / 规则、风险防控，如包括资质、风控、商品质量、商品信息标准； 2. 建立良好的SOP和业务机制，保证业务健康良性发展； 3. 对内部和外部发现的风险和控制问题进行跟进，分析问题实质，协助相关部门进行复盘整改，并建立持续风险监测机制； 4. 与相关部门紧密配合，推动商品数字化流程 / 规则在各方的顺利执行； 5. 深入了解业务，用创新的方法快速解决商品数字化过程中出现的问题，提升商品数字化质量。,Nan,"1. 3年以上品控风控管理经验，熟悉商品质量控制和规则的管理链路； 2. 具有比较扎实的业务能力，对行业的发展现状和趋势有敏锐的认识和判断，具备一定的规划能力和系统性、框架性思维； 3. 良好的数据分析能力，拥有良好的数据敏感度和业务视野，良好的数据分析能力，敏锐的产品直觉，逻辑性强； 4. 良好的沟通能力,能吃苦耐劳,并能承担工作压力，适应性和落地性强； 5. 事业心强，有较高的业务自驱力和结果导向的责任心； 6. 善于整合资源、撬动资源，有比较好的业务协调能力，与各部门的工作衔接及配合。",Operation-Merchant & Commodity Management,Alibaba,喵街,"Hangzhou,Zhejiang,China",Nan
1,Alibaba Group Senior Business Development Manager - NL&UK market Milan,FOCtJwbYRUOOQvxyErwGNg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=FOCtJwbYRUOOQvxyErwGNg%3D%3D,"Please submit your CV in English. 1. Prioritize and deliver outstanding experiences to Alibaba. com's Sales and Service Partners. 2. Develop new Sales and Service Partners, prospecting a network of professionals, identify decision-makers and be able to engage with C-level and B-level potential partners and developing & incubating to alibaba. com's local partners. 3. Maintain and grow existing Partners' business, daily communicate with partners management team co-develop sales and service strategies to grow their business through Alibaba. com sales, while securing partners' profitability, clients success, and Alibaba. com priorities. 4. Mastering and managing the presentation of your product portfolio,Influencing and managing the key moments of the sales cycle (e. g. lead generation, lead nurturing, sales pitch, clients on-boarding and success, incentives, partnership agreement, etc. Become a Platform Expert in order to develop knowledge and skills among Partners and Clients; Delivering trainings and coaching to the sales forces(field sales team) to enable partners' sales agents to effectively educate local SMEs 5. Proactively nurturing and monitoring new Partners to ensure long term success in the Netherlands&United Kingdom market. 6. Be a brand ambassador of Alibaba. com leveraging different type of communication strategies and such as PR, Webinars, Events, Partnership, etc.",Nan,"This is how you can impress us! 1. 5+ years experience in business development within the digital industry, digital marketing, marketplace and e-commerce solutions, advertising sales, or in consulting, Experience in B2B business or Export solutions&products will be a plus 2. Experience in improving business relationships focused on Customer Service and Partner Management and successfully developing new business opportunities,goal- and solution-oriented, and you enjoy celebrating successes 3. Demonstrated ability to lead and manage multiple projects simultaneously, with a broad range of internal and external stakeholders (C-level and B-level) 4. Demonstrated ability to think strategically about complex issues and develop recommendations and action plans among Sales and Service solutions (balance between short and long terms success) 5. Entrepreneurial mindset and ability to work independently,Dynamic, ambitious and motivated by challenges 6. Language skill: Native speaker level in English, Mandarin will be a plus.",BD-Business/Region BD,Alibaba,欧洲,"Milano,Italy",Nan
2,银泰商业 直播策划专家 杭州,51rELapnwd1HvoDmXVF9bw%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=51rELapnwd1HvoDmXVF9bw%3D%3D,1、熟悉银泰商场类业务的调性，根据银泰 / 主播形象定位定制人设定位，输出相关内容创意； 2、对平台热点能够有自己的创意想法，参与过大型直播活动运营策划和优化； 3、对全网主播直播玩法保持关注，不断更新迭代直播策划和直播脚本撰写的思路和方法论; 4、 针对微信、微博、快手、抖音等不同媒体平台，进行内容的相关运营工作，包括根据平台特性的内容创作和筛选、推送和阅读相关数据检测，为账号内容提供符合互联网传播规律的创意；,Nan,1、 2-3年营销策划或内容运营工作经验，熟悉抖音、快手短视频及直播运营； 2、熟悉各类线上营销手段和推广方案，有整合思维，思维活跃，能折腾，有网感； 3、具有统筹与完成策划方案的能力，较强的沟通能力和执行力，按预定节奏推进方案落实； 4、做过爆款内容的加分，面试请带上以往作品；,Operations - Integrated management,Alibaba,喵街,"Hangzhou,Zhejiang,China",Nan
3,银泰商业 门店工程物业专家 温州,lcSNPflYpKFs%2FFmYuVoSxw%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=lcSNPflYpKFs%2FFmYuVoSxw%3D%3D,全面负责门店所有设备的保养、维修、更新改造等工作的组织、指导和管理工作，确保大厦工程设备的正常运行； — 根据实际情况，制定部门的管理目标、各项规章制度、工程设备、设施的整体管理安排； — 建立健全部门岗位职责及工作标准程序和规范，确保部门的正常运行； — 制定节能、降低消耗的措施，并督导员工贯彻执行，以减少开支，提高经济效益； — 负责二次装修方案的审批，施工过程中的监察，竣工后的验收； — 负责各种设备. 设施的对外委托管理工作（资质审核、合同签订、服务评估）； — 负责消防及监控设备. 设施的维修工作，与保安部协作完成设备的管理工作； — 负责对内、对外的协调工作； — 及时组织人力处理重大事故及问题，并及时总结经验教训，尽量减少事故造成的损失； — 负责核定工程维修、改造费用，审批设备改造计划、购置计划，设备保养计划； — 负责完成各种上级领导交办的其他工作。,Nan,— 教育背景：相关专业； — 职业资格：有物业管理经理上岗证，并同时具备强弱电、空调、水暖、消防等以上任意一种资格证书； — 工作经验：3年以上百货公司建筑工程管理经验； — 工作技能：熟悉物业检查、结构及各种工程设备设施的运行、维修工作； 熟悉强弱电、空调、水暖、消防等系统的原理； 具有良好的沟通能力及组织管理能力； 有较强的责任心、事业心和职业道德，富有工作激情和热情； 具有长时间高效率工作和承受压力的能力。,Integration - Integrated management,Alibaba,第六战区,"Wenzhou,Zhejiang,China",Nan
4,银泰商业 Java开发工程师 杭州,L9NJpEQBIxCmVwQXyDpagg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=L9NJpEQBIxCmVwQXyDpagg%3D%3D,1）负责银泰相关技术系统的设计和开发工作； 2）独立完成中小型项目的系统分析、设计，并主导完成详细设计和编码的任务，确保项目的进度和质量； 3）主导技术难题攻关，持续提升核心系统的高处理性能，保证系统的安全、稳定、快速运行； 4）理解业务，识别需求，参与架构、系统、分析设计等多领域项目的相关技术的实践、应用和研发。,Nan,1）计算机软件或相关专业，3年以上Java开发经验； 2）熟悉Java / J2EE， 基础扎实，熟练掌握常用Java技术框架，能编写高质量简洁清晰的代码； 3）对于Java基础技术体系（包括JVM、类装载机制、多线程并发、IO、网络）有一定的掌握和应用经验； 4）良好的面向对象设计理解，熟悉面向对象设计原则，掌握设计模式及应用场景，熟悉底层中间件、分布式技术（包括缓存、消息系统、热部署等）； 5）具有比较强的问题分析和处理能力，有比较优秀的动手能力。,Technology - Operations and maintenance,Alibaba,研发部,"Hangzhou,Zhejiang,China",Nan
5,银泰商业 财务共享助理 西安,64Idm3c2F4elFqm8Wg5FEQ%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=64Idm3c2F4elFqm8Wg5FEQ%3D%3D,1、负责公司账务处理，编制财务报表，进行财务核算等； 2、负责公司各类原始凭证的审核、记帐凭证的编制与录入及帐目的审核； 3、制定日常财务制度，保证财务工作正常有序进行，能够进行较全面的财务预算分析和总结。,Nan,1、正直、谦和、勤奋、进取； 2、有工作激情，抗压应变能力强； 3、有会计从业证； 4、熟悉操作财务软件、Excel、Word等办公软件。,Integration - Other,Alibaba,AP,"Xi'an,Shaanxi,China",Nan
6,菜鸟网络 高级法务专员 劳动人事法务,yYmlRAkf224Hu_Y2YY7XXA%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=yYmlRAkf224Hu_Y2YY7XXA%3D%3D,1. 处理劳动人事类法律事务（境内为主，兼顾海外）； 2. 协同HR制定实施人事政策，建立人事合规体系；——借助海外律师资源，知识沉淀 3. 协同处理境外日常劳资纠纷，负责承办重大劳动争议案件，优化劳资纠纷处理机制，进行类案研判，通过案件反哺管理； 4. 研究境外重点国家和地区用工法律环境，协同设计与业务模式匹配的用工方案；,Nan,1. 法律类专业； 2. 四年以上大型跨国企业或律师事务所人事法律事务经验； 3. 可以用中文及英语作为工作语言，同时有其他语言能力优先； 4. 熟悉企业人力资源管理，良好的资源管理与沟通协调能力； 5. 具备中国或其他国家和地区律师执业资格优先，有互联网、快递物流行业法律事务从业经验优先，有境内外劳动人事法律实务经验优先。,Integration - Legal affairs,Alibaba,法务合规部,"Hangzhou,Zhejiang,China",Nan
7,Ant Group Customer Success Lead WorldFirst,lfVcjvOLqpyqdY6pWsvehA%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=lfVcjvOLqpyqdY6pWsvehA%3D%3D,"- WorldFirst Customer Success Managers (CSM) always put our customers first, demonstrating great product knowledge and an eagerness to provide relevant help as quickly as possible - Be it by phone, live chat, or email, CSMs communicate articulately and probe intelligently to gain insight into the customers' experience - We concentrate on providing truly excellent & speedy service, so that our customers happily continue to choose us & grow their businesses with WorldFirst day after day - We're a global team, our Merchant Services teammates are currently located in Sydney, Hong Kong, Singapore, Shanghai, Amsterdam and London. This means we're all about celebrating differences and standardising best practices whilst sharing our valuable learnings with each other - We're super communicators and collaborate closely with expert Relationship Managers, Sales & Partnerships teams to service and delight our customers. And being a Financial company we're also naturally obsessed with ensuring airtight security alongside our Compliance and Onboarding teams - We fulfil a range of daily technical tasks such as calculating FX rates and spreads and manually booking trades, so we expect excellent attention to detail & provide lots of ongoing training to ensure our teams are well equipped to succeed - CSMs are critical in reflecting the 'customer voice' back to the business, so records must be kept updated and any issues quickly highlighted for urgent resolution - There are great opportunities to develop and grow for those who show a flexible and high growth mindset- WorldFirst is owned by Ant Group and there is lots of exciting change already underway - Customer Success Managers have arguably one of the best roles in the business- working in the heart of what matters every day with a fantastic team by your side",Nan,- Relevant experiences in client relationship / account management / customer service focus - People management experience & leadership acumen - Financial services experience preferred - Excellent communicator- verbal and written - High collaboration & team orientated ethic - Strong numerical & analytical skills,Customer Experience-General Management,Alibaba,Commercial Australia,"Sydney,New South Wales,Australia",Nan
8,Alibaba Cloud Intelligence Business Development Manager Malaysia,dc4G_zAY8KmNDY2lzsnm4A%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=dc4G_zAY8KmNDY2lzsnm4A%3D%3D,"Be a key part of the Alibaba Cloud Malaysia team for one of the top public cloud providers in the world. We are seeking a highly qualified Business Development Manager to join the company’s Cloud Malaysia team based in Kuala Lumpur. In this capacity, you will play a key role within Alibaba Cloud’s business development team to recruit customers and partners and sell Alibaba Cloud global solutions to Large Enterprises and some other clients in the Malaysia. This role needs to carry out various sales responsibilities to achieve GAAP revenue target and be a team player to help the team hit overall revenue target. Working for a substantially fast growing global public cloud provider like Alibaba, you will have the potential to grow your career through this exciting journey. Key responsibilities, but not limited to: 1. Carry out annual GAAP revenue target to sell Alibaba Cloud global solutions to enterprises and small / medium business clients 2. Develop channel partnership to leverage business communities to sell Alibaba Cloud global solutions 3. Build strong sales pipelines, help enhance customer onboarding and partner enablement programs 4. Provide trainings and workshops to customers and partners to enhance brand awareness and improve collaborations 5. Provide overall pre-sales and post-sales support at account level to help customers and channel partners with Alibaba Cloud consumption and ensure overall customer satisfaction 6. Be a team player to help the team hit its overall revenue target and build solid ecosystem by offering internal cross trainings, knowledge and experience sharing, and contributing to teamwork spirit 7. Work with HQ back office functional lines to collaborate and contribute to overall product, solution and operation enhancements",Nan,"- Excellent interpersonal communication skills; presentation, public speaking and written communication skills - At least 7-years of strong experience in related field targeting banking, securities, or insurance. - Strong nationwide or regional business communities engagement experience is a plus - Experience with partnership, alliance program and channel platform is preferred - Comfortable working in a global company with culture diversity and fast paced growth - Ability to direct collaborative efforts of resources within a large organization, including internal resources, external resources and other constituent groups as appropriate - Ability to manage change, resolve conflicts and ensure collaboration within teams and / or units; maintaining the highest standards of ethical conduct and integrity - Exceptional organizational skills with the ability to manage several projects simultaneously with a sense of urgency - Ability to work in a fast-paced environment - Alibaba Cloud ACA / ACP certificate is a plus",Market Development - BD,Alibaba,马来西亚业务拓展,"Kuala Lumpur,Kuala Lumpur,Malaysia",Nan
9,"Alibaba Cloud Intelligence Solutions Architect Hanoi, Vietnam",6lEgBJnw3iNz6SMA1_zAdA%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=6lEgBJnw3iNz6SMA1_zAdA%3D%3D,"Alibaba Cloud is seeking a Solutions Architect to focus on the internet companies in Northern Vietnam. In this role, you will become a trusted advisor to internet customers ranging from start-ups to well-established enterprises, educating them on the value proposition of Alibaba Cloud, and participating in deep cloud computing architecture discussions. You will have the opportunity to help shape and execute a strategy that builds mind share and the broad use of Alibaba Cloud within organizations ranging from start-ups to some of ASEAN’s fastest growing companies. Responsibilities：  Support internet companies in architecting scalable, reliable and secure solutions following the best practices  Support adoption of a broad range of Alibaba Cloud services to deliver business value for internet companies  Establish and build technical relationships within the start-up ecosystem, including accelerators, incubators and venture capitalists  Help internet companies to adopt the right architecture at each part of their life cycle  Develop technical content, such as blog posts, sample code and demos, to assist customers solve technical problems and reduce time-to-market  Present and conduct architecture discussions with customers at Alibaba Cloud events  Participate at start-up-related industry events such as hackathons and user-groups ※Candidate who has ACP(Alibaba Cloud Certification Professional) or ACA(Alibaba Cloud Certification Associate) is preferred.",Nan," 7+ years of experience in the design and implementation of complex IT solutions (including scalable cloud-based solutions and microservices architectures)  Practical operational experience including monitoring application and infrastructure performance and reliability  Deep understanding of technologies in the open source developer ecosystem, including IDEs, developer frameworks, continuous integration platforms  Familiarity with the DevOps philosophy, practices, and tools  Knowledge of the latest developments in NoSQL databases, Containers and Real time analytics solutions.  Excellent communications and presentation skills Preferred Qualifications：  Experience working for or having founded a VC-backed technology start-up company  A Masters Degree in computer science, MIS, engineering or equivalent technical degree  Hands-on experience with Alibaba Cloud / AWS / Google Cloud / Azure  Knowledge of multiple, modern development languages such as Ruby, Python and Node. js  Understanding of Machine Learning and Deep Learning concepts and technology  Experience in a customer-facing, sales-aligned role such as consultant, solutions engineer or solutions architect",Technology - Integration,Alibaba,印尼解决方案,"Hanoi,Vietnam",Nan
