,title,internal_id,url,description,responsibilities,qualifications,location,type,company,publish_date
0,生产计划工程师,244918,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244918,,"1、负责某产品/产品族的产品供应计划制定和执行，管理产品供应能力、识别关键供应风险，保障交付指标和存货指标达成
 2、关注产品版本演进计划，协同研发制定产品版本切换计划、ESS计划，并负责组织全球各FC执行，保障切换计划有效落地； 
 3、负责产品全球生产存货效率的日常管理与统筹，持续提升生产存货运营效率；
 4、持续优化产品可计划性。","业务技能要求：
 1、较好的英语听说写能力。
 2、具备较好的沟通表达能力、抗压能力。
 3、 具备较好的逻辑推理能力、数据分析能力。
 4、具备全局思维、平衡思维。
 专业知识要求：
 了解公司计划运作，对供应链及计划业务有深入的理解，熟悉ERP、APS等计划系统或工具。",中国/深圳,供应链族,Huawei,2022-07-29
1,生产计划工程师,244909,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244909,,"1、负责某产品/产品族的产品供应计划制定和执行，管理产品供应能力、识别关键供应风险，保障交付指标和存货指标达成
 2、关注产品版本演进计划，协同研发制定产品版本切换计划、ESS计划，并负责组织全球各FC执行，保障切换计划有效落地； 
 3、负责产品全球生产存货效率的日常管理与统筹，持续提升生产存货运营效率；
 4、持续优化产品可计划性。","业务技能要求：
 1、较好的英语听说写能力。
 2、具备较好的沟通表达能力、抗压能力。
 3、 具备较好的逻辑推理能力、数据分析能力。
 4、具备全局思维、平衡思维。
 专业知识要求：
 了解公司计划运作，对供应链及计划业务有深入的理解，熟悉ERP、APS等计划系统或工具。",中国/深圳,供应链族,Huawei,2022-07-29
2,智能光伏解决方案销售经理,244960,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244960,,"1. Be responsible for the daily operation of the laboratory and the management, debugging and maintenance of laboratory equipment;
 2. Receive customers who visit the experiment, explain to customers, and demonstrate the experiment.
 3. Teamwork to complete daily work of Germany Competence Center
 4. Participate in customer development and provide technical support.
 5. Compare the construction and O&M of pilot sites.","业务技能要求：
 Service skill requirements:
 1. Be familiar with the processes and requirements related to laboratory operations,
 2. Familiar with the software and hardware design of inverter-related products. Experience in inverter product development is preferred.
 3. Familiar with the industry standards that inverter-related products must comply with. Experience in product certification is preferred.
 4. Understand the application, characteristics, and solution requirements of PV systems in different scenarios.
 5. Have a basic command of the overall architecture of the PV system, and be able to independently test the efficiency, power quality, power grid fault, and HVRT/LVRT.
 6. Have good expression skills and be able to clearly demonstrate the value of Huawei solutions to customers.
 专业知识要求：
 Professional knowledge requirements:
 1. Bachelor degree or above, majoring in electrical engineering.
 2. English may be used as a working language. Good communication and collaboration skills, adapt to international working environment.
 3. Be proficient in using office software such as Word, Excel, and PowerPoint.
 4. Have a proficient command of laboratory operation specifications and have relevant safety operation certificates.
 5. Be familiar with the operation and management of related equipment.",Germany/Nuernberg,销售族,Huawei,2022-07-29
3,Software Engineer,244892,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244892,,"Responsible for demand analysis, Including of one or more modules, code testing, unit testing, integration testing, static inspection, local composition, test environment structures, problem location, Data development and so on.","Business Skills Requirements:
 1) familiar with the distributed architecture, distributed software development experience;
 2) familiar with Openstack, WMWare and other cloud operating system software;
 3) Experience in cloud computing and large data / SDN / NFV development;4
 4)skilled use of the database for performance tuning;
 5)with good communication skills, hard, dedicated, motivated, have a good team spirit. The technology has passion, like to study
 Professional Knowledge Requirement:
 1)information systems / computer / communications and other related professional, undergraduate and above, English through four and above;
 2)familiar with at least one of C / C ++, JAVA, Python, JS, master common data structures, algorithms, understand software engineering, agile development and other knowledge, familiar with common design patterns;
 3)to understand the database field one or more characteristics of the core principles of the distribution, consistency and other algorithms have a certain understanding.
 4)communication business background, network communication related protocol STP / OAM / MPLS / OSPF / DHCP;
 5)there are several areas of business, cloud computing and large data field development experience is preferred.",Turkey/Istanbul,研发族,Huawei,2022-07-28
4,Procurement Manager,244962,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244962,,"The employee would be responsible for organizing and participating in the selection and management of suppliers according to procurement strategies, in order to keep consistent supply, to reduce the cost of procurement, and to obtain competitive advantage in procurement area.
 Analyze procurement demand and the market, to achieve objectives of procurement cost control and lower cost of procurement strategies.
 Responsibly prepare procurement agreements.
 Responsible for preparation of procurement reports.
 Participate in negotiation meetings with business department.
 Monitor performance of all suppliers to ensure continuous improvement in quality of goods supplied and services.","Business Skills Requirements:
 knowledge of office routines and document handling
 Able to communicate with suppliers/contractors with regards to contract signing
 Excellent organizational skills and good at supplier relationship setting-up and maintaining
 High efficiency, Energetic, Independent, and able to work well in a fast-paced changing environment.
 Passion for driving results and seeing projects through to completion
 Strong communication skills
 Very good English and German language, prefer to Chinese language if possible
 Interpersonal skills, organizational skills and writing skills
 Professional Knowledge Requirement:
 Bachelor degree and at least two years of experiences in global companies
 Passion for driving results and seeing projects through to completion
 Strong communication skills
 Very good English and German language, prefer to Chinese language if possible
 University degree in Logistics/Business Administration or similar education",Austria/Vienna,采购族,Huawei,2022-07-28
5,【专业类岗位】生产计划工程师,244658,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244658,,"标准职责
 根据要货预测、产品供应能力等，制定S&OP建议计划、主计划/物料需求计划/加工计划建议、供应中心分销计划，支撑决策并落地执行17级定位：基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。|| 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划/物料需求计划/加工计划建议、供应中心分销计划，驱动制造及供应商资源准备；|| 跟进产品/器件等供需风险及管控措施，针对异常及时通报反馈；|| 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行；|| 维护计划参数、监控计划达成情况，持续提升计划工作质量；|| 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。
 自定义职责
 null","业务技能要求：
 •	具备制定产品计划和存货分析的技能
 专业知识要求：
 •	熟悉公司ICT相关产品相关基础知识（产品配置特点、供需形势及演进方向，版本切换），熟悉公司基本流程（IPD/LTC/SUPPLY等）； •	掌握计划方法及计划逻辑，理解计划策略、产品全生命周期计划管理方法； •	熟悉存货流转过程，掌握冗余存货处理方法。",中国/东莞,供应链族,Huawei,2022-07-27
6,维护工程师（专业类）,244708,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244708,,"1、地市交付与服务主任是地市交付与服务业务的管理者；负责地市的网络安全和网络质量保障、项目管理、合作管理、满意度管理、区域团队管理等，同时要求懂网络、懂技术、懂客户、懂管理、懂经营、懂竞争、会沟通、会呈现等，对地市交付与服务业务的经营目标、市场成功及客户满意度负责，确保服务业务持续发展。
 2、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标。
 3、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、POD/PAC/FAC里程碑达成，支撑代表处订收回经营目标达成。
 4、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环。
 5、区域合作现场管理：负责区域合作现场人员的出入场及日常规范运作管理，对区域合作团队现场运作质量、交付结果进行评估并应用。
 6、区域交付与服务团队建设及管理：负责区域虚拟团队的建设及日常管理，对区域团队人员进行排兵布阵，跟踪落地执行结果。
 7、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标； 
 8、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、里程碑达成，支撑代表处订收回经营目标达成； 
 9、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环； 
 10、区域合作现场管理：负责区域合作现场人员出入场及日常规范运作管理；","1、地市交付与服务主任是地市交付与服务业务的管理者；负责地市的网络安全和网络质量保障、项目管理、合作管理、满意度管理、区域团队管理等，同时要求懂网络、懂技术、懂客户、懂管理、懂经营、懂竞争、会沟通、会呈现等，对地市交付与服务业务的经营目标、市场成功及客户满意度负责，确保服务业务持续发展。 
 2、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标。 
 3、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、POD/PAC/FAC里程碑达成，支撑代表处订收回经营目标达成。 
 4、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环。
 专业知识要求：
 掌握项目管理、运维管理、网络质量管理、团队管理等相关知识
 其他要求：
 英语四级",中国/台州,服务族,Huawei,2022-07-27
7,维护工程师（专业类）,244732,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244732,,"1、地市交付与服务主任是地市交付与服务业务的管理者；负责地市的网络安全和网络质量保障、项目管理、合作管理、满意度管理、区域团队管理等，同时要求懂网络、懂技术、懂客户、懂管理、懂经营、懂竞争、会沟通、会呈现等，对地市交付与服务业务的经营目标、市场成功及客户满意度负责，确保服务业务持续发展。
 2、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标。
 3、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、POD/PAC/FAC里程碑达成，支撑代表处订收回经营目标达成。
 4、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环。
 5、区域合作现场管理：负责区域合作现场人员的出入场及日常规范运作管理，对区域合作团队现场运作质量、交付结果进行评估并应用。
 6、区域交付与服务团队建设及管理：负责区域虚拟团队的建设及日常管理，对区域团队人员进行排兵布阵，跟踪落地执行结果。
 7、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标；
 8、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、里程碑达成，支撑代表处订收回经营目标达成；
 9、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环； 
 10、区域合作现场管理：负责区域合作现场人员出入场及日常规范运作管理；","1、地市交付与服务主任是地市交付与服务业务的管理者；负责地市的网络安全和网络质量保障、项目管理、合作管理、满意度管理、区域团队管理等，同时要求懂网络、懂技术、懂客户、懂管理、懂经营、懂竞争、会沟通、会呈现等，对地市交付与服务业务的经营目标、市场成功及客户满意度负责，确保服务业务持续发展。 
 2、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标。
 3、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、POD/PAC/FAC里程碑达成，支撑代表处订收回经营目标达成。 
 4、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环
 5、专业知识要求：
 掌握项目管理、运维管理、网络质量管理、团队管理等相关知识。
 6、其他要求：
 英语四级",中国/舟山,服务族,Huawei,2022-07-27
8,【专业类岗位】生产计划工程师,244541,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244541,,"标准职责
 根据要货预测、产品供应能力等，制定S&OP建议计划、主计划/物料需求计划/加工计划建议、供应中心分销计划，支撑决策并落地执行17级定位：基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。|| 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划/物料需求计划/加工计划建议、供应中心分销计划，驱动制造及供应商资源准备；|| 跟进产品/器件等供需风险及管控措施，针对异常及时通报反馈；|| 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行；|| 维护计划参数、监控计划达成情况，持续提升计划工作质量；|| 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。
 自定义职责
 null","业务技能要求：
 具备制定产品计划和存货分析的技能
 专业知识要求：
 熟悉公司ICT相关产品相关基础知识（产品配置特点、供需形势及演进方向，版本切换），熟悉公司基本流程（IPD/LTC/SUPPLY等）；掌握计划方法及计划逻辑，理解计划策略、产品全生命周期计划管理方法；熟悉存货流转过程，掌握冗余存货处理方法。",中国/东莞,供应链族,Huawei,2022-07-27
9,【专业类岗位】生产计划工程师,244650,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=244650,,"标准职责
 根据要货预测、产品供应能力等，制定S&OP建议计划、主计划/物料需求计划/加工计划建议、供应中心分销计划，支撑决策并落地执行17级定位：基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。|| 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划/物料需求计划/加工计划建议、供应中心分销计划，驱动制造及供应商资源准备；|| 跟进产品/器件等供需风险及管控措施，针对异常及时通报反馈；|| 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行；|| 维护计划参数、监控计划达成情况，持续提升计划工作质量；|| 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。
 自定义职责
 null","业务技能要求：
 •	具备制定产品计划和存货分析的技能
 专业知识要求：
 •	熟悉公司ICT相关产品相关基础知识（产品配置特点、供需形势及演进方向，版本切换），熟悉公司基本流程（IPD/LTC/SUPPLY等）； •	掌握计划方法及计划逻辑，理解计划策略、产品全生命周期计划管理方法； •	熟悉存货流转过程，掌握冗余存货处理方法。",中国/东莞,供应链族,Huawei,2022-07-27
