,title,internal_id,url,description,responsibilities,qualifications,company,location,department,publish_date
0,Инженер-монтажник,68656500,https://hh.ru/vacancy/68656500,"МТС - это цифровые сервисы, которые делают жизнь проще и интереснее. Мы набираем в команду кандидатов без опыта. Обучение с нуля, официальное оформление. Удобное время и район для работы можно выбирать самому! Что делать: - подключать услуги домашнего интернета и ТВ в доме абонента; - помогать абонентам с настройкой роутера, ТВ приставки или выбором тарифа; Тем, кто уже работает у нас, нравятся понятные задачи и возможность быстро вырасти из новичка в профессионала. Коллеги готовы помочь, а наставники подсказать. Это хорошая работа, потому что у нас: - поддержку бригадира на старте работы и профессиональное развитие внутри технической команды; - ежемесячный доход зависит от количества выполненных заявок (сдельная оплата); - стабильность: официальное оформление по договору ГПХ, своевременные выплаты и перспектива перейти в штат, если захотите; - возможность дополнительного дохода за привлечение новых клиентов. Это не обязательно и по желанию; - гибкий график работы (не менее 6 часов в день) и возможность работать недалеко от дома; - можно совмещать с основной работой и подключать клиентов в вечернее время и выходные; Мы ищем: - кандидата, который хочет научиться профессионально выполнять монтажные работы, обращаться с инструментом и готов к разъездной работе; Если ты дружишь с техникой, готов учиться и хочешь активной и разнообразной работы – приходи в техническую команду МТС!",,,MTS,,«МТС» ,2022-08-10 15:08:55
1,Специалист по продажам услуг,68469611,https://hh.ru/vacancy/68469611,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление. Что делать: - продавать домашний интернет и цифровое ТВ МТС и принимать заявки на подключение при личном общении с жильцами многоквартирных домов; - размещать рекламные материалы на вверенной территории; - предлагать дополнительные услуги (устройства Умный дом, роутеры, сим-карты); Тем, кто уже работает у нас, нравятся понятные задачи и атмосфера, где наставники всему научат и поддержат. Это отличный вариант, потому что у нас: - можно выбрать график: полный или неполный день, норматив 21 смена в месяц; - оформление по договору ГПХ и прозрачная схема оплаты: фиксированный доход за выполнение нормативов + бонусы за подключённые услуги; - бесплатное корпоративное обучение; - развитие внутри команды профессионалов и возможность построить карьеру в разных направлениях бизнеса МТС. Мы ищем: кандидата, который легко устанавливает контакт с новыми людьми и быстро учится. Будет здорово, если есть опыт продаж, например, в Яндекс, Ростелеком, Сбербанк, Тинькофф, Мегафон, ЭР-Телеком, но это необязательно. Мы берём новичков. У нас ты сможешь быстро стать настоящим профессионалом! Если тебя заряжает общение с людьми и привлекает возможность высокого дохода при гибком графике — откликайся! #продажи #телекомпродажи #работавпродажах #прямыепродажи #начинающий #без_опыта #менеджерпопродажам #работасклиентами #продажауслуг #гибкийграфик #неполныйдень",,,MTS,Тула,«МТС» ,2022-08-10 15:06:04
2,Продуктовый дизайнер / Product Designer,68655766,https://hh.ru/vacancy/68655766,"Мы ищем продуктового дизайнера в команду дизайна интернет-магазина МТС. Мы занимается разработкой и развитием интернет-магазина МТС, а также нового e-commerce продукта. Ты нам подойдёшь, если ты: Ты готов(-а) работать и с вебом и с мобильными приложениями. Продумывать клиентский путь на всех платформах и поддерживать его консистентность. Имеешь подтверждённый опыт дизайна мобильных приложений, знаешь гайдлайны iOS и Android, а также особенности дизайна для каждой из платформ. Понимаешь на общем уровне техническую сторону разработки. Умеешь находить баланс между клиентом, бизнесом и разработкой. Твой уровень — middle и выше (и ты можешь объяснить почему это так). И главное — ты самостоятельный(-ая). Что мы предлагаем: Возможность принять участие в создании продукта, который только-только начинает свою жизнь. Открытую атмосферу, в которой голос каждого члена команды важен и будет услышан. Самостоятельность и широкий масштаб влияния на продукт. Работу в крутой и растущей команде. Гибридный формат работы или полную удалёнку (если не потеряется эффективность). Нужное тебе для работы оборудование и софт. ДМС. Обучение и курсы за счёт компании. Большое внутреннее сообщество дизайнеров, митапы и обмен опытом.",,,MTS,,«МТС» ,2022-08-10 14:56:38
3,Стаже-редактор,68655591,https://hh.ru/vacancy/68655591,"МТС – это мультисервисная цифровая экосистема. Мы создаем и развиваем сервисы в сфере мобильной связи, больших данных, искусственного интеллекта, облачного хранения, медиа и финансов – все они делают жизнь людей проще и интереснее. В команду «Finadvice» мы приглашаем Стажера-Редактора. Кто мы? Finadvice – экосистемный сервис, который помогает пользователю понять что происходит с его кредитной историей и предоставляет инструменты по ее улучшению, защите от мошенничества, а так же помогает найти кредитора, который одобрит нужный кредит. Кого мы ищем : Хорошие навыки бесконфликтных интернет-коммуникаций Понимание принципов работы web-аналитики Опыт написания статей по специфике рынка кредитования, кредитной истории, личных финансов - приветствуется. Тебе предстоит: Написание новостей / статей / обзоров на сайт, по тематике личных финансов, кредитов, займов, кредитной истории и тд. Формирование (создание, модерация) текстового и графического (постановка задачи дизайнерам) контента; Взаимодействие по вопросам в части размещения и редактирования контента; Написание текстовых материалов на финансовые темы для социальных сетей; Подготовка текстов для email рассылок; Написание и размещение статей для сторонних источников, взаимодействие с PR службой; Взаимодействие с подрядчиками по SЕО-продвижению / SMM / SERM; Участие в разработке и запуске спец. проектов для сайтов компании; Разработка и согласование контент планов для размещения на сторонних ресурсах Написание и рерайтинг текстовых материалов для лендингов, и внутренних страниц проекта Что мы предлагаем: Управляй графиком: работай от 30 до 40 часов в неделю и меняй его в течение стажировки; Выбирай длительность стажировки: от 1 до 6 месяцев; Прояви себя и получи возможность попасть в штат компании; Продолжай развиваться: предоставим доступ ко всем тренингам и онлайн-курсам Корпоративного университета МТС; Прокачай знания в реальном бизнесе цифровой экосистемы.",,,MTS,,«МТС» ,2022-08-10 14:53:33
4,Архитектор,67711776,https://hh.ru/vacancy/67711776,"МТС Digital – сердце цифровой экосистемы МТС. 12 гильдий инженеров, суперкомпьютер, системы видеоаналитики, IoT, собственная лаборатория AI и 20+ петабайт данных. Финтех, стриминг, гейминг, мобильные приложения, облачные сервисы. Каждый день мы работаем над тем, чтобы вывести мобильную и веб-разработку на новый уровень, благодаря сплоченным продуктовым командам и agile методологиям. Сейчас мы находимся в поисках Архитектора в одно из своих подразделений для развития нашего продукта PaaS. Messaging . Мы делаем PaaS сервис , современное частное корпоративное облако, потребителями которого будут команды разработки компании МТС Диджитал. Наша задача, предоставить нашим коллегам экосистему инструментов и необходимых технологий обеспечивающих устойчивость, управляемость и контроль сложных программных продуктов в условиях постоянных изменений и высокой нагрузки. Вы будете заниматься разработкой архитектуры решения системы: П роектирование интеграционных решений; Составление нефункциональных требований к компонентам решения; Постановка задач разработчикам; Работа с требованиями. Мы ждем от вас знания: Средства моделирования, планирования и разработки: Microsoft Visual Studio . NET, Sparx Enterprise Architect; Язык моделирования UML 2. 0, имеете опыт проектирования физической модели данных; Язык разметки XML, С#, MS . net framework; Системы управления базами данных (Oracle или MS SQL Server); Системы контроля версий (Microsoft Team Foundation Server, GIT, svn); Английский языка на уровне, достаточном для чтения тех. документации. Будет плюсом: Знания особенностей разработки прикладных систем реального времени, комбинированных систем, централизованных и территориально распределённых систем; Модель NGOSS (ETOM, SID и TAM), основы устройства сетей GSM, PSTN, CDMA, DECT. Мы, в свою очередь, гарантируем: Интересные проекты в различных областях: CRM, big data, machine learning, IoT, cloud computing; Разработка по гибким методологиям: Agile, Scrum, Kanban; Лучшие практики разработки ПО: Test driven development, Continuous integration, Continuous delivery; Регулярное обучение за счёт компании; ДМС со стоматологией, страхованием жизни и страхованием поездок за рубеж; Программа компенсации стоимости посещения бассейна / фитнес-центра; Работа в офисе, при необходимости возможно удаленное подключение из дома; Стабильная белая и конкурентная зарплата, премии 2 раза в год по результатам работы, 31 день отпуска; График работы 5 / 2, в пятницу сокращенный рабочий день; Наличие большого количества корпоративных мероприятий: вебинары, митапы, хакатоны и многое другое; Корпоративная мобильная связь.",,,MTS,,"«МТС», IT",2022-08-10 14:46:37
5,Специалист по продажам услуг,68039043,https://hh.ru/vacancy/68039043,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление. Что делать: - продавать домашний интернет и цифровое ТВ МТС и принимать заявки на подключение при личном общении с жильцами многоквартирных домов; - размещать рекламные материалы на вверенной территории; - предлагать дополнительные услуги (устройства Умный дом, роутеры, сим-карты); Тем, кто уже работает у нас, нравятся понятные задачи и атмосфера, где наставники всему научат и поддержат. Это отличный вариант, потому что у нас: - можно выбрать график: полный или неполный день, норматив 21 смена в месяц; - оформление по договору ГПХ и прозрачная схема оплаты: фиксированный доход за выполнение нормативов + бонусы за подключённые услуги; - бесплатное корпоративное обучение; - развитие внутри команды профессионалов и возможность построить карьеру в разных направлениях бизнеса МТС. Мы ищем: кандидата, который легко устанавливает контакт с новыми людьми и быстро учится. Будет здорово, если есть опыт продаж, например, в Яндекс, Ростелеком, Сбербанк, Тинькофф, Мегафон, ЭР-Телеком, но это необязательно. Мы берём новичков. У нас ты сможешь быстро стать настоящим профессионалом! Если тебя заряжает общение с людьми и привлекает возможность высокого дохода при гибком графике — откликайся! #продажи #телекомпродажи #работавпродажах #прямыепродажи #начинающий #без_опыта #работа_для_начинающих #менеджерпопродажам #работасклиентами #продажауслуг #гибкийграфик #неполныйдень",,,MTS,Смоленск,«МТС» ,2022-08-10 14:00:00
6,Специалист по продажам услуг,68032914,https://hh.ru/vacancy/68032914,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление! Что делать: - продавать домашний интернет и цифровое ТВ МТС и принимать заявки на подключение при личном общении с жильцами многоквартирных домов; - размещать рекламные материалы на вверенной территории; - предлагать дополнительные услуги (устройства Умный дом, роутеры, сим-карты); Тем, кто уже работает у нас, нравятся понятные задачи и атмосфера, где наставники всему научат и поддержат. Это отличный вариант, потому что у нас: - можно выбрать график: полный или неполный день, норматив 21 смена в месяц; - оформление по договору ГПХ и прозрачная схема оплаты: фиксированный доход за выполнение нормативов + бонусы за подключённые услуги; - бесплатное корпоративное обучение; - развитие внутри команды профессионалов и возможность построить карьеру в разных направлениях бизнеса МТС. Мы ищем: кандидата, который легко устанавливает контакт с новыми людьми и быстро учится. Будет здорово, если есть опыт продаж, например, в Яндекс, Ростелеком, Сбербанк, Тинькофф, Мегафон, ЭР-Телеком, но это необязательно. Мы берём новичков. У нас ты сможешь быстро стать настоящим профессионалом! Если тебя заряжает общение с людьми и привлекает возможность высокого дохода при гибком графике — откликайся! #продажи #телекомпродажи #работавпродажах #прямыепродажи #начинающий #без_опыта #менеджерпопродажам #работасклиентами #продажауслуг #гибкийграфик #неполныйдень",,,MTS,Иваново,«МТС» ,2022-08-10 14:00:00
7,Специалист по продажам услуг,68032912,https://hh.ru/vacancy/68032912,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление. Что делать: - продавать домашний интернет и цифровое ТВ МТС и принимать заявки на подключение при личном общении с жильцами многоквартирных домов; - размещать рекламные материалы на вверенной территории; - предлагать дополнительные услуги (устройства Умный дом, роутеры, сим-карты); Тем, кто уже работает у нас, нравятся понятные задачи и атмосфера, где наставники всему научат и поддержат. Это отличный вариант, потому что у нас: - можно выбрать график: полный или неполный день, норматив 21 смена в месяц; - оформление по договору ГПХ и прозрачная схема оплаты: фиксированный доход за выполнение нормативов + бонусы за подключённые услуги; - бесплатное корпоративное обучение; - развитие внутри команды профессионалов и возможность построить карьеру в разных направлениях бизнеса МТС. Мы ищем: кандидата, который легко устанавливает контакт с новыми людьми и быстро учится. Будет здорово, если есть опыт продаж, например, в Яндекс, Ростелеком, Сбербанк, Тинькофф, Мегафон, ЭР-Телеком, но это необязательно. Мы берём новичков. У нас ты сможешь быстро стать настоящим профессионалом! Если тебя заряжает общение с людьми и привлекает возможность высокого дохода при гибком графике — откликайся! #продажи #телекомпродажи #работавпродажах #прямыепродажи #начинающий #без_опыта #менеджерпопродажам #работасклиентами #продажауслуг #гибкийграфик #неполныйдень",,,MTS,Киров,«МТС» ,2022-08-10 14:00:00
8,Специалист по продажам услуг,68032911,https://hh.ru/vacancy/68032911,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление. Что делать: - продавать домашний интернет и цифровое ТВ МТС и принимать заявки на подключение при личном общении с жильцами многоквартирных домов; - размещать рекламные материалы на вверенной территории; - предлагать дополнительные услуги (устройства Умный дом, роутеры, сим-карты); Тем, кто уже работает у нас, нравятся понятные задачи и атмосфера, где наставники всему научат и поддержат. Это отличный вариант, потому что у нас: - можно выбрать график: полный или неполный день, норматив 21 смена в месяц; - оформление по договору ГПХ и прозрачная схема оплаты: фиксированный доход за выполнение нормативов + бонусы за подключённые услуги; - бесплатное корпоративное обучение; - развитие внутри команды профессионалов и возможность построить карьеру в разных направлениях бизнеса МТС. Мы ищем: кандидата, который легко устанавливает контакт с новыми людьми и быстро учится. Будет здорово, если есть опыт продаж, например, в Яндекс, Ростелеком, Сбербанк, Тинькофф, Мегафон, ЭР-Телеком, но это необязательно. Мы берём новичков. У нас ты сможешь быстро стать настоящим профессионалом! Если тебя заряжает общение с людьми и привлекает возможность высокого дохода при гибком графике — откликайся! #продажи #телекомпродажи #работавпродажах #прямыепродажи #начинающий #без_опыта #менеджерпопродажам #работасклиентами #продажауслуг #гибкийграфик #неполныйдень",,,MTS,Ростов-на-Дону,«МТС» ,2022-08-10 14:00:00
9,Менеджер телефонных продаж,68118026,https://hh.ru/vacancy/68118026,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление. Что делать: - продавать домашний интернет и цифровое ТВ по телефону, используя готовую базу абонентов; - предлагать дополнительные услуги и принимать заявки на подключение. Тем, кто уже работает у нас, нравятся понятные задачи и атмосфера, где наставники всему научат и поддержат. Это отличный вариант, потому что у нас: - можно выбрать график: полный или неполный день, но минимум 21 смена в месяц + возможность работать удалённо после стажировки в офисе; - оформление по договору ГПХ и прозрачная схема оплаты: фиксированный доход + бонусы (за количество диалогов, подключённые услуги и выполнение плана); - бонусы от компании: спецтариф на мобильную связь, бесплатное корпоративное обучение; - развитие внутри команды профессионалов и возможность построить карьеру в разных направлениях бизнеса МТС. Мы ищем: кандидата, который легко устанавливает контакт с новыми людьми и быстро учится. Будет здорово, если есть опыт продаж, например, в Яндекс, Ростелеком, Сбербанк, Тинькофф, Мегафон, ЭР-Телеком, но это необязательно. Мы берём новичков. У нас ты сможешь быстро стать настоящим профессионалом! Если тебя заряжает общение с людьми и привлекает возможность высокого дохода при гибком графике — откликайся! #продажи #телекомпродажи #работа_в_продажах #прямые_продажи #начинающий #без_опыта #менеджер_по_продажам #работа_с_клиентами #продажа_услуг #гибкий_график #неполный_день",,,MTS,Астрахань,«МТС» ,2022-08-10 13:57:39
