,title,internal_id,url,description,responsibilities,qualifications,company,location,department,publish_date
0,"Менеджер продукта, Инструменты поддержки и CRM, CRM для контрагентов",68464254,https://hh.ru/vacancy/68464254,"Мы строим внутреннюю систему управления взаимоотношениями и развития продавцов, поставщиков и других контрагентов. Инструмент поможет командам коммерции оптимизировать процессы привлечения и сопровождения, увеличить скорость и качество взаимодействия с нашими партнерами за счет автоматизации, агрегации и анализа данных. Продукт находится на ранней стадии, полон амбициозных целей и открыт для новых талантов. Вам предстоит: Исследовать, вести и развивать несколько проектов внутри Ozon CRM; Находить проблемы и потребности пользователей, проектировать пользовательский опыт и проверять гипотезы; Управлять большим объемом задач и отвечать за качество и сроки их реализации. Мы ожидаем: Опыт работы с данными; Опыт управления проектом / продуктом; Умение принимать решения в условиях неопределенности; Инициативность и целеустремленность; Самостоятельность: умение приходить к заданной цели без конкретных инструкций; Хорошие навыки коммуникации: умение координировать людей, не находящихся в прямом подчинении; Знание и применении гибких методологий и продуктового подхода к разработке. Мы предлагаем: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce; Свободу действий в принятии решений; Достойный уровень заработной платы; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом.",,,Ozon,"Москва, Пресненская набережная, 10",Ozon Информационные технологии,2022-08-10 12:36:10
1,"Старший разработчик Go, Базовые сервисы / Платформа",67649653,https://hh.ru/vacancy/67649653,"Мы строим абсолютно новую платформу в Ozon, основанную на современных технологиях. Задача команды Платформы - обеспечение высокой надежности микросервисов и поддержка высокого уровня инженерной культуры в компании. Платформа в Ozon - это разработка для разработки, мы снабжаем инженеров библиотеками, фреймворками и подходами, которые решают их повседневные проблемы - быстрый старт нового сервиса, работа с очередями и базами данных, балансировка нагрузки, рейт лимитинг, circuit-breaking и многое другое. Также мы строим внутреннее облако, которое позволяет запускать все необходимые ресурсы “по кнопке” без участия людей: PostgreSQL, Kafka, Ceph, Redis, Memcached и многое другое. Благодаря этому, наши инженеры могут легко и быстро собрать нужный им продукт из строительных кубиков и масштабировать его под любые нагрузки. Вам предстоит: развитие и поддержка общего фреймворка для микросервисов, улучшение интеграции микросервисов с инфраструктурой и их инструментирование; решение фундаментальных платформенных проблем, возникающих при эксплуатации &gt;2k микросервисов (балансировка нагрузки и сетевых соединений, бесшовное переключение баз данных при падении мастера и т. д. ); создание продуктов as-a-Service; работа с командами как с заказчиками платформенных фичей; планирование и стратегическое развитие платформы Ozon; проведение внутренних митапов для разработчиков для анонса новых платформенных фичей и поддержания культуры разработки на высоком уровне. Мы ожидаем: Умение писать чистый, тестируемый код на Go или опыт платформенной разработки, прекрасное владение одним и более языками: C, C++, Java, Python, Ruby, PHP (мы пишем на Go); Опыт работы с терминалом в Linux и понимание, куда посмотреть, когда сервер тупит; Понимание принципов обеспечения высокой доступности приложений и опыт в балансировщиках нагрузки и rate-limiter&#39;ах; Опыт работы с распределёнными системами (микросервисы, service discovery) и с соответствующими инструментами (LXC, Docker, orchestration systems). Будет плюсом: Интерес к анализу, проектированию и решению проблем в масштабных распределенных системах; Умение дебажить и оптимизировать код, автоматизировать рутинные операции; Умение делать CI, build pipeline и собирать Docker-образы, писать Makefile; Вы хорошо знакомы с эксплуатацией микросервисов и работали с системами мониторинга (Prometheus), трейсинга (OpenTracing / OpenTelemetry) и логирования (Graylog). Мы предлагаем: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce; Свободу действий в принятии решений; Достойный уровень заработной платы; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon Информационные технологии,2022-08-10 12:35:11
2,"Старший разработчик Go, Базовые сервисы / Платформа",67649652,https://hh.ru/vacancy/67649652,"Мы строим абсолютно новую платформу в Ozon, основанную на современных технологиях. Задача команды Платформы - обеспечение высокой надежности микросервисов и поддержка высокого уровня инженерной культуры в компании. Платформа в Ozon - это разработка для разработки, мы снабжаем инженеров библиотеками, фреймворками и подходами, которые решают их повседневные проблемы - быстрый старт нового сервиса, работа с очередями и базами данных, балансировка нагрузки, рейт лимитинг, circuit-breaking и многое другое. Также мы строим внутреннее облако, которое позволяет запускать все необходимые ресурсы “по кнопке” без участия людей: PostgreSQL, Kafka, Ceph, Redis, Memcached и многое другое. Благодаря этому, наши инженеры могут легко и быстро собрать нужный им продукт из строительных кубиков и масштабировать его под любые нагрузки. Вам предстоит: развитие и поддержка общего фреймворка для микросервисов, улучшение интеграции микросервисов с инфраструктурой и их инструментирование; решение фундаментальных платформенных проблем, возникающих при эксплуатации &gt;2k микросервисов (балансировка нагрузки и сетевых соединений, бесшовное переключение баз данных при падении мастера и т. д. ); создание продуктов as-a-Service; работа с командами как с заказчиками платформенных фичей; планирование и стратегическое развитие платформы Ozon; проведение внутренних митапов для разработчиков для анонса новых платформенных фичей и поддержания культуры разработки на высоком уровне. Мы ожидаем: Умение писать чистый, тестируемый код на Go или опыт платформенной разработки, прекрасное владение одним и более языками: C, C++, Java, Python, Ruby, PHP (мы пишем на Go); Опыт работы с терминалом в Linux и понимание, куда посмотреть, когда сервер тупит; Понимание принципов обеспечения высокой доступности приложений и опыт в балансировщиках нагрузки и rate-limiter&#39;ах; Опыт работы с распределёнными системами (микросервисы, service discovery) и с соответствующими инструментами (LXC, Docker, orchestration systems). Будет плюсом: Интерес к анализу, проектированию и решению проблем в масштабных распределенных системах; Умение дебажить и оптимизировать код, автоматизировать рутинные операции; Умение делать CI, build pipeline и собирать Docker-образы, писать Makefile; Вы хорошо знакомы с эксплуатацией микросервисов и работали с системами мониторинга (Prometheus), трейсинга (OpenTracing / OpenTelemetry) и логирования (Graylog). Мы предлагаем: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce; Свободу действий в принятии решений; Достойный уровень заработной платы; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon Информационные технологии,2022-08-10 12:35:11
3,"Старший инженер по тестированию (Собственные продажи, Управление контентом и торговлей)",68645875,https://hh.ru/vacancy/68645875,"Команда торговли и управления контентом занимается разработкой нескольких продуктов, один из которых – ценообразование. OzonRetail нуждается в инструментах ценообразования. Начиная от расчёта себестоимости и заканчивая расчётом маржи товара и её зависимости от оборачиваемости. Задачи: Обеспечение качества продуктов команды; Развитие QA-экспертизы в команде; Развитие автотестирования; Непосредственно принимать участие в тестировании по проектам; Участие в разработке требований к системам; Наставничество, участие в расширении команды. Мы ожидаем: Опыт работы в QA от 3 лет; Опыт управления тестовыми окружениями; Опыт выстраивания процессов обеспечения качества; Опыт работы с SQL (у нас Postgres); Понимание микросервисной архитектуры; Владение одним из языков программирования на начальном уровне (Java, Python, C#) как плюс; Умение разбираться в исходном коде. Мы предлагаем: Динамично и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом. ​​​​",,,Ozon,"Москва, Центральный административный округ, Пресненский район, Московский международный деловой центр Москва-Сити",Ozon Информационные технологии,2022-08-10 12:16:32
4,"Руководитель группы прогнозирования (Data science), Ozon Fresh",66725922,https://hh.ru/vacancy/66725922,"ЧТО НЕОБХОДИМО ДЕЛАТЬ: Написание кодовой базы на языке python с преимущественным использованием библиотек pandas, numpy, pyspark. Создание и редактирование дагов в системе airflow. Поддержка и настройка gitlab pipelines. Интеграция системы с внешними сервисами по rest api и grpc. Написание запросов к данным в реляционных СУБД и в hive для отладки кода и ретроспективного анализа работы системы. (опционально) развёртывание кода проекта в виде сервиса в kubernetes. ЧТО МЫ ОЖИДАЕМ: Опыт разработки на python от 3-х лет. Уверенное владение инструментами обработки данных: sql (mssql, postgres, vertica), pandas, numpy, pyspark. sql. Навыки проектирования архитектуры систем, сильное знание ООП (SOLID, GRASP, GOF). Опыт построения пайплайнов и инфраструктуры разработки: gitlab ci / cd, unit testing, мониторинг и алёртинг, документирование, flake & black и т. д. Экспертиза в DataScience: понимание жизненного цикла DS проекта, основных технологий и подходов. Уверенное владение jupyter notebook / lab. Уверенное владение IDE pycharm или vscode, умение эффективно отлаживать код с помощью этих инструментов. УПРАВЛЕНЧЕСКИЕ НАВЫКИ: Опыт управления группой разработки от 1 года. Знание основных методик управления: scrum, kanban, водопад. Владение техниками управления рисками и изменениями. Опыт планирования и контроля средних проектов (сроком от полугода до года). Высокие коммуникативные навыки: решение конфликтов, аргументация собственной позиции, умение слышать собеседника, умение объяснить и донести задачу до исполнителя. ЧТО МЫ ПРЕДЛАГАЕМ: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon fresh,2022-08-10 10:10:02
5,"Руководитель группы прогнозирования (Data science), Ozon Fresh",66725921,https://hh.ru/vacancy/66725921,"ЧТО НЕОБХОДИМО ДЕЛАТЬ: Написание кодовой базы на языке python с преимущественным использованием библиотек pandas, numpy, pyspark. Создание и редактирование дагов в системе airflow. Поддержка и настройка gitlab pipelines. Интеграция системы с внешними сервисами по rest api и grpc. Написание запросов к данным в реляционных СУБД и в hive для отладки кода и ретроспективного анализа работы системы. (опционально) развёртывание кода проекта в виде сервиса в kubernetes. ЧТО МЫ ОЖИДАЕМ: Опыт разработки на python от 3-х лет. Уверенное владение инструментами обработки данных: sql (mssql, postgres, vertica), pandas, numpy, pyspark. sql. Навыки проектирования архитектуры систем, сильное знание ООП (SOLID, GRASP, GOF). Опыт построения пайплайнов и инфраструктуры разработки: gitlab ci / cd, unit testing, мониторинг и алёртинг, документирование, flake & black и т. д. Экспертиза в DataScience: понимание жизненного цикла DS проекта, основных технологий и подходов. Уверенное владение jupyter notebook / lab. Уверенное владение IDE pycharm или vscode, умение эффективно отлаживать код с помощью этих инструментов. УПРАВЛЕНЧЕСКИЕ НАВЫКИ: Опыт управления группой разработки от 1 года. Знание основных методик управления: scrum, kanban, водопад. Владение техниками управления рисками и изменениями. Опыт планирования и контроля средних проектов (сроком от полугода до года). Высокие коммуникативные навыки: решение конфликтов, аргументация собственной позиции, умение слышать собеседника, умение объяснить и донести задачу до исполнителя. ЧТО МЫ ПРЕДЛАГАЕМ: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon fresh,2022-08-10 10:09:57
6,"Руководитель группы прогнозирования (Data science), Ozon Fresh",66725920,https://hh.ru/vacancy/66725920,"ЧТО НЕОБХОДИМО ДЕЛАТЬ: Написание кодовой базы на языке python с преимущественным использованием библиотек pandas, numpy, pyspark. Создание и редактирование дагов в системе airflow. Поддержка и настройка gitlab pipelines. Интеграция системы с внешними сервисами по rest api и grpc. Написание запросов к данным в реляционных СУБД и в hive для отладки кода и ретроспективного анализа работы системы. (опционально) развёртывание кода проекта в виде сервиса в kubernetes. ЧТО МЫ ОЖИДАЕМ: Опыт разработки на python от 3-х лет. Уверенное владение инструментами обработки данных: sql (mssql, postgres, vertica), pandas, numpy, pyspark. sql. Навыки проектирования архитектуры систем, сильное знание ООП (SOLID, GRASP, GOF). Опыт построения пайплайнов и инфраструктуры разработки: gitlab ci / cd, unit testing, мониторинг и алёртинг, документирование, flake & black и т. д. Экспертиза в DataScience: понимание жизненного цикла DS проекта, основных технологий и подходов. Уверенное владение jupyter notebook / lab. Уверенное владение IDE pycharm или vscode, умение эффективно отлаживать код с помощью этих инструментов. УПРАВЛЕНЧЕСКИЕ НАВЫКИ: Опыт управления группой разработки от 1 года. Знание основных методик управления: scrum, kanban, водопад. Владение техниками управления рисками и изменениями. Опыт планирования и контроля средних проектов (сроком от полугода до года). Высокие коммуникативные навыки: решение конфликтов, аргументация собственной позиции, умение слышать собеседника, умение объяснить и донести задачу до исполнителя. ЧТО МЫ ПРЕДЛАГАЕМ: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon fresh,2022-08-10 10:09:51
7,"Руководитель группы прогнозирования (Data science), Ozon Fresh",66725919,https://hh.ru/vacancy/66725919,"ЧТО НЕОБХОДИМО ДЕЛАТЬ: Написание кодовой базы на языке python с преимущественным использованием библиотек pandas, numpy, pyspark. Создание и редактирование дагов в системе airflow. Поддержка и настройка gitlab pipelines. Интеграция системы с внешними сервисами по rest api и grpc. Написание запросов к данным в реляционных СУБД и в hive для отладки кода и ретроспективного анализа работы системы. (опционально) развёртывание кода проекта в виде сервиса в kubernetes. ЧТО МЫ ОЖИДАЕМ: Опыт разработки на python от 3-х лет. Уверенное владение инструментами обработки данных: sql (mssql, postgres, vertica), pandas, numpy, pyspark. sql. Навыки проектирования архитектуры систем, сильное знание ООП (SOLID, GRASP, GOF). Опыт построения пайплайнов и инфраструктуры разработки: gitlab ci / cd, unit testing, мониторинг и алёртинг, документирование, flake & black и т. д. Экспертиза в DataScience: понимание жизненного цикла DS проекта, основных технологий и подходов. Уверенное владение jupyter notebook / lab. Уверенное владение IDE pycharm или vscode, умение эффективно отлаживать код с помощью этих инструментов. УПРАВЛЕНЧЕСКИЕ НАВЫКИ: Опыт управления группой разработки от 1 года. Знание основных методик управления: scrum, kanban, водопад. Владение техниками управления рисками и изменениями. Опыт планирования и контроля средних проектов (сроком от полугода до года). Высокие коммуникативные навыки: решение конфликтов, аргументация собственной позиции, умение слышать собеседника, умение объяснить и донести задачу до исполнителя. ЧТО МЫ ПРЕДЛАГАЕМ: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon fresh,2022-08-10 10:09:46
8,"Руководитель группы прогнозирования (Data science), Ozon Fresh",66725918,https://hh.ru/vacancy/66725918,"ЧТО НЕОБХОДИМО ДЕЛАТЬ: Написание кодовой базы на языке python с преимущественным использованием библиотек pandas, numpy, pyspark. Создание и редактирование дагов в системе airflow. Поддержка и настройка gitlab pipelines. Интеграция системы с внешними сервисами по rest api и grpc. Написание запросов к данным в реляционных СУБД и в hive для отладки кода и ретроспективного анализа работы системы. (опционально) развёртывание кода проекта в виде сервиса в kubernetes. ЧТО МЫ ОЖИДАЕМ: Опыт разработки на python от 3-х лет. Уверенное владение инструментами обработки данных: sql (mssql, postgres, vertica), pandas, numpy, pyspark. sql. Навыки проектирования архитектуры систем, сильное знание ООП (SOLID, GRASP, GOF). Опыт построения пайплайнов и инфраструктуры разработки: gitlab ci / cd, unit testing, мониторинг и алёртинг, документирование, flake & black и т. д. Экспертиза в DataScience: понимание жизненного цикла DS проекта, основных технологий и подходов. Уверенное владение jupyter notebook / lab. Уверенное владение IDE pycharm или vscode, умение эффективно отлаживать код с помощью этих инструментов. УПРАВЛЕНЧЕСКИЕ НАВЫКИ: Опыт управления группой разработки от 1 года. Знание основных методик управления: scrum, kanban, водопад. Владение техниками управления рисками и изменениями. Опыт планирования и контроля средних проектов (сроком от полугода до года). Высокие коммуникативные навыки: решение конфликтов, аргументация собственной позиции, умение слышать собеседника, умение объяснить и донести задачу до исполнителя. ЧТО МЫ ПРЕДЛАГАЕМ: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon fresh,2022-08-10 10:09:41
9,"Руководитель группы прогнозирования (Data science), Ozon Fresh",66725917,https://hh.ru/vacancy/66725917,"ЧТО НЕОБХОДИМО ДЕЛАТЬ: Написание кодовой базы на языке python с преимущественным использованием библиотек pandas, numpy, pyspark. Создание и редактирование дагов в системе airflow. Поддержка и настройка gitlab pipelines. Интеграция системы с внешними сервисами по rest api и grpc. Написание запросов к данным в реляционных СУБД и в hive для отладки кода и ретроспективного анализа работы системы. (опционально) развёртывание кода проекта в виде сервиса в kubernetes. ЧТО МЫ ОЖИДАЕМ: Опыт разработки на python от 3-х лет. Уверенное владение инструментами обработки данных: sql (mssql, postgres, vertica), pandas, numpy, pyspark. sql. Навыки проектирования архитектуры систем, сильное знание ООП (SOLID, GRASP, GOF). Опыт построения пайплайнов и инфраструктуры разработки: gitlab ci / cd, unit testing, мониторинг и алёртинг, документирование, flake & black и т. д. Экспертиза в DataScience: понимание жизненного цикла DS проекта, основных технологий и подходов. Уверенное владение jupyter notebook / lab. Уверенное владение IDE pycharm или vscode, умение эффективно отлаживать код с помощью этих инструментов. УПРАВЛЕНЧЕСКИЕ НАВЫКИ: Опыт управления группой разработки от 1 года. Знание основных методик управления: scrum, kanban, водопад. Владение техниками управления рисками и изменениями. Опыт планирования и контроля средних проектов (сроком от полугода до года). Высокие коммуникативные навыки: решение конфликтов, аргументация собственной позиции, умение слышать собеседника, умение объяснить и донести задачу до исполнителя. ЧТО МЫ ПРЕДЛАГАЕМ: Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. Достойный уровень заработной платы. Профессиональную команду, которой мы гордимся. Возможность развиваться вместе с нашим бизнесом.",,,Ozon,,Ozon fresh,2022-08-10 10:09:37
