,title,internal_id,url,description,responsibilities,qualifications,location,company,publish_date
0,Финансовый консультант (Доставка банковских продуктов),4048537,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4048537,,"Финансовый консультант – это новая перспективная должность для тех, кто только начинает свое развитие в банковской сфере или уже имеет опыт разъездной работы и хочет построить карьеру в крупнейшем банке России Задачи финансового консультанта: - Проведение встреч по выдаче банковских продуктов по удобному для клиента адресу в заранее согласованное время - Разъездной характер работы - Выполнение плановых показателей по количеству и качеству встреч с клиентами - Выполнение плановых показателей по кросс-продажам продуктов банка и экосистемы (без холодных продаж) - Аутентификация, идентификация и визуальная оценка клиентов и документов, удостоверяющих их личность - Консультирование клиента по продуктам банка и экосистемы","Ты нам подходишь, если: - Ранее занимался доставкой или выездными продажами - Хочешь ежедневно общаться с большим количеством клиентов и изучать новые банковские и логистические продукты - Хочешь развиваться и иметь карьерные перспективы в крупнейшем банке России - Готов встречаться с 7-15 клиентами в день - Готов к графику 5 / 2 - Готов «работать в движении» и нацелен на достижение лучших результатов - Не равнодушен к своему делу и видишь потенциал развития и совершенствования сервисов банка, готов предлагать свои идеи и предложения А еще: - специалист со средним профессиональным / неполным высшим образованием - готов к разъездному характеру работы и выдерживаешь высокий темп - умеешь общаться с людьми разного возраста, пола и социального статуса - обладаешь презентационными навыками - уже имеешь опыт работы в сфере продаж от 6 мес. (торговым представителем, страховым агентом, продавцом-консультантом, промоутером), а если нет – готов к обучению - хорошо знаешь свой город, либо хорошо умеешь пользоваться приложениями по построению маршрутов - уважаешь конфиденциальность и персональные данные клиентов и понимаешь ответственность в случае их распространения - осознаешь ответственность при работе с материальными ценностями","Город Красноярск, Красноярский Край",Sber,2022-01-12 00:00:00
1,Руководитель направления / Лидер кластера Договорные сервисы,4034508,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4034508,,"определение видения развития сервисов: digital процессы договора (в каналах: Сбербанк Инвестор 2. 0, Мобильное приложение Сбербанк Онлайн, Мобильное приложение СБОЛ. pro) - реализация удобных и недостающих процессов (например, закрытие индивидуального инвестиционного счета); участие в проектах &quot;Ипотечные ценные бумаги&quot; / &quot;Единая денежная позиция&quot;; digital процессы договора (в каналах: Сбербанк Инвестор 2. 0, Мобильное приложение Сбербанк Онлайн, Мобильное приложение СБОЛ. pro) - возможность Клиенту гибко и удобно управлять своими данными и способами коммуникации с Клиентом процессы регистрации в торгово-учетных системах - покупка / продажа облигаций 24x7 в Сбербанк Онлайн; -сервисы тарифов и комиссий - предрасчёт брокерской комиссии при покупке облигаций в Сбербанк Онлайн; технологическая трансформация; расчет комиссии онлайн; онлайн формирование новых тарифных планов; индивидуальные тарифные планы ответственность за метрики, развиваемых сервисов; приоритизация бэклогов команд кластера; синхронизация работы кластеров с продуктами / каналами управление командой численностью до 80 человек.","высшее (экономическое) образование; наличие опыта работы Product Owner / Project manager / Product manager от 2-х лет; наличие опыта работы в инвестиционной / брокерской компании и желательно собственный опыт инвестирования; понимание особенностей профессиональной деятельности на рынке ценных бумаг (брокерская деятельность в приоритете); умение формулировать цели, задачи и метрики (бизнесовые / продуктовые / процессные); знание инфраструктуры российского рынка ценных бумаг; наличие опыта создания брокерских продуктов с нуля; понимание работы по гибким методологиям Agile; понимание трендов UX / UI, умение построить карту клиентского пути; умение разговаривать с программистами на одном языке; наличие опыта подбора ИТ-персонала и выстраивания коммуникаций внутри команды; опыт управления большими командами (свыше 50 чел. ); наличие квалификационных аттестатов (брокерская, дилерская, депозитарная деятельности); хорошие коммуникативные и организаторские способности, проактивность, самостоятельность.",Город Москва,Sber,2021-12-03 00:00:00
2,Стажер автотестировщик (Инвестиции),1848690,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/1848690,"Сбер - это крупнейшая цифровая экосистема. Технобренд, объединяющий лучшие мировые практики и современный стек. Сбер работает над созданием экосистемы удобных онлайн сервисов в самых разных сферах. Сейчас в нее входит более 50 компаний. Среди них- онлайн-кинотеатр Okko, сервис доставки еды Delivery Club, служба такси «Ситимобил» и многие другие. Команда трайба Инвестиции и накопления работает над выведением продуктов в Сбербанк онлайн. Ознакомиться с продуктами можно в мобильной или Web версии в разделе «Инвестиции и пенсии» : Паевые фонды; Индивидуальные инвестиционные счета с готовой стратегией; Доверительное управление; Пенсионный план; Накопительное страхование жизни. В планах реализовать: инвестиционный план, инвестиционное страхование жизни. Наша команда в поисках инженера автоматизированного тестирования. Нас ждет очень интересная и важная работа. Скучно не будет.","Тестирование веб приложений, мобильных приложений: проведение функционального, нефункционального, интеграционного, автоматизированного тестирования; Разработка API автотестов : тестирование бэкенд сложных систем с большим количеством интеграций, обеспечение Continuous Integration; Разработка, ревью, согласование артефактов тестирования: тест- кейсы, чек-листы, тест-планы, отчеты о тестировании; Работа с дефектами: оформление в системах Jira, ALM (в том числе средствами автоматизации), локализация дефектов, подготовка тестовых данных; Совместно с Product Owner, аналитиками и другими участниками команды анализировать поступающие требования, осуществлять поиск возможных “узких” мест.","Практический опыт функционального, интеграционного тестирования сервисных шин и процессов интеграции данных; Практический опыт работы по Agile (SCRUM, или Kanban) в скрам команде в коротких спринтах; Навыки тест-дизайна (опыт проектирования тестовой модели и создания набора тестовых случаев, обеспечивающих оптимальное тестовое покрытие приложения); Практический опыт использования в работе протоколов и инструментов SOAP, или REST, или MQ, или JSON, или Apache Kafka; Теоретические знания практик DevOps (Continuous Integration, Continious Delivery, Continious Deployment) и практический опыт внедрения инструментов и практик DevOps; Опыт администрирования инструментов Continuous Integration (Jenkins, или Ansible, или Bamboo, или Buildbot, или Teamcity) - настройка системы для автоматического запуска автоматизированных тестов; Практический опыт программирования Java / C#.","Город Екатеринбург, Свердловская Область",Sber,2021-12-09 00:00:00
3,Сетевой эксперт (Remote Access),4026582,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4026582,,Развитие сервиса Remote access в банке; Администрирование решений на базе Cisco ISE; Формирование технических заданий на разработку / доработку смежных систем; Разработка технической документации / схем по сервису Remote Access; Взаимодействие с вендорами в целях развития сервиса и решения инцидентов; Обработка обращений пользователей в режиме 3-й линии; Разработка инструкций и СОП для 1-й и 2-й линий технической поддержки;,"Высшее техническое образование; Опыт работы в ИТ сфере от 3-х лет; Опыт разработки технической документации; Знание принципов и механизмов работы, понимание архитектуры построения современных проводных и беспроводных сетей (в том числе remote access) на уровне CCNP (RS / Wireless / Security); Наличие действующего сертификата будет преимуществом; Знания в области построения RA VPN. Опыт настройки связки Cisco ASA / FPR + ISE + Anyconnect; Знания в области аутентификации и авторизации в проводных и беспроводных сетях (WPA2 / 3-Personal, WPA2 / 3-Enterprise) с методами EAP-TLS, EAP-FAST, EAP-TEAP; Наличие опыта инсталляции и траблшутинга Cisco ISE Distributed Deployment; Наличие опыта траблшутинга Anyconnect для платформ mac / win / linux; Наличие опыта эксплуатации сетевого оборудования крупной кампусной сети (либо сети провайдера). Опыт работы с оборудованием Cisco / Huawei / Juniper / Aruba.",Город Москва,Sber,2022-02-22 00:00:00
4,QA automation engineer (проект MLStorageр),4053917,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4053917,"О компании: АО «Сбербанк-Технологии» - российская ИТ- компания, оказывающая услуги по разработке и внедрению программного обеспечения для Сбербанка России. Продукт: Model Execution Framework Кратко о нас: Мы ищем талантливого QA auto в сильную команду, создающую платформу создания и исполнения AI-моделей — это комплексное решение, которое позволяет исполнять модели машинного обучения в рамках различных бизнес-процессов. Исполнение моделей применяется в рамках автоматизированного принятия решений, расчета риск-метрик, прогнозирования, распознавания текста, голоса, изображений.","Мы ценим: Готовность работать самостоятельно и проактивно, не ожидая указаний сверху; Стремление делать по-настоящему качественный продукт и брать на себя ответственность за результат; Способность учиться, осваивая новые технологии и приобретая новые навыки и компетенции. Вам предстоит: Проводить автоматизацию тестирования; Обеспечивать написание тест кейсов, тестовых сценариев, самостоятельно проводить тестирование; Взаимодействовать со смежными подразделениями (разработка, аналитика); Разработка правил и методик автоматизированного тестирования, поддержание высокого уровня культуры тестирования; Формирование отчетности по результатам тестирования.","Мы ищем человека, который: Имеет опыт работы тестировщиком от 3-5 лет; Знает основные технологии и методики тестирования; Опыт работы с трекинговыми системами (Jira); Имеет опыт написания и ревью тест-кейсов; Имеет опыт разработки функционально – интеграционных сервисов на Java; Хорошие знания и практический опыт работы с различными программными Frameworks; Хорошие знания в части микросервисной архитектуры и cloud-native стандартов; Опыт работы с такими сервисами как: Docker, K8S, OpenShift, Jenkins; Умеет создавать и актуализировать планы тестирования; Умеет взаимодействовать с разработчиками, аналитиками, другими тестировщиками.",Город Москва,Sber,2022-02-28 00:00:00
5,Водитель-инкассатор,4045180,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4045180,"Водители-инкассаторы— это настоящие профессионалы, которые обеспечивают перевозку и сохранность банковских ценностей. В Сбербанке тебя ждет дружный коллектив, современные бронированные автомобили и технологии работы, забота о здоровье и безопасности, а также постоянное профессиональное развитие.","Тебе предстоит: перевозить денежные средства, а также другие ценности оказывать инкассаторские услуги клиентам банка обеспечивать сохранность перевозимых ценностей, автотранспорта.",Мы ждем от тебя: готовность работать на маршруте вдвоем или по одному образование не ниже среднего подтвержденный стаж работы водителем не менее года права категории B хорошую физическую подготовку умение обращаться с оружием или готовность обучаться и сдавать соответствующие нормативы.,"Город Великий Новгород, Новгородская Область",Sber,2022-02-28 00:00:00
6,Аналитик,4059681,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4059681,,"Задачи: ∙ Совместно с владельцем продукта специфицировать и высокоуровневые бизнес требования (бизнес кейс) и пользовательские (CJM, основные сценарии) ∙ Уточнять, детализировать и верифицировать функциональные и нефункциональные требования / спецификации к фронтенду и бекенду системы ∙ Умение разрабатывать и редактировать прототипы интерфейсов (figma, axure) ∙ Тесно работать с командой разработки и принимать промежуточные результаты реализации требований с учетом изменений в технических решениях ∙ Верифицировать тест-кейсы и активно участвовать в процессе тестирования (приемка результатов) ∙ Разрабатывать полный стек документации по продуктам (Архитектура, Программа и методика испытаний, руководства пользователя и администратора, а также прочие документы) ∙ Проводить демо продукта для внутренних и внешних клиентов ∙ Участвовать в получении обратной связи от клиентов","Требования: ∙ Самостоятельность в планировании и организации своей работы ∙ Опыт написания User Story, Use Case, Job Story, Scenario, Customer Journey Map и т. д. ∙ Знакомство с нотациями UML, BPMN ∙ Знание Jira, Confluence ∙ Базовое понимаете архитектуры ПО: micro services architecture, Kafka (MQ), REST API, БД ∙ Понимание процессов разработки / внедрения: итеративная разработка, CI / CD, управление релизами продуктов Будет плюсом: ∙ Опыт работы с AWS / GCP / Azure ∙ Kubernetes, OpenShift, Docker ∙ Опыт проектирования спецификаций API (=Swagger) ∙ Умение читать код (Java, Go, Python) ∙ Знакомство с SQL на уровне составления и выполнения простых запросов",Город Москва,Sber,2022-03-09 00:00:00
7,Главный ИТ-инженер / QA инженер (нагрузочное тестирование),4053822,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4053822,"Наша команда создает один из ключевых сервисов облачной платформы Platform V – Identity & Access Management или просто IAM. Наш продукт представляет собой комплексное решение для управления и контроля доступа к облачным ресурсам, обеспечивая аутентификацию и авторизацию пользователей с использованием технологий OIDC и SAML. К продукту предъявляют высокие требования по надежности и безопасности, а основу решения составляют известные OpenSource компоненты, среди которых: Nginx, SpringBoot, Keycloak. Мы ищем целеустремленного и ответственного инженера с высокими коммуникативными навыками, который поможет нам в развитии DevOps сервиса аутентификации Platform V IAM.",Реализация функциональных и нефункциональных требований в части развития DevOps; Работа с бэклогом по Agile-методологии; Координация задач по 3ЛТП; Участие в демонстрациях и митапах продукта внутренним и внешним клиентам; Активные коммуникации с командами разработки и внедрения.,"Владение одним из инструментов нагрузочного тестирования (HP Performance Center, HP Load Runner, JMeter, IBM RPT) Опыт выполнения проекта по нагрузочному тестированию (разработка скриптов, эмуляторов, утилит генерации тестовых данных) Опыт работы с БД на уровне написания запросов (СУБД Oracle, MSSQL) Знание технологий виртуализации и контейнеризации Желателен опыт в IT подразделениях банковской сферы Опыт работы по гибким методологиям",Город Москва,Sber,2022-03-14 00:00:00
8,Администратор СУБД PostgreSQL,4016300,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4016300,"Сбер — больше чем банк, это вселенная полезных сервисов для повседневной жизни человека Сбер сегодня - это гибкие методологии разработки Agile, масштабные высоконагруженные проекты, а также современные технологии. Каждый из нас превращает банк в экосистему, которая окружает человека удобными сервисами и продуктами для жизни Подразделение, которое занимается сопровождением и развитием инфраструктуры Сбера ищет в свою команду администратова PostgreSQL.","Выполнение типовых задач по сопровождению СУБД oracle, mssql, postgre и др. ; Решение инцидентов АС; Осуществление обработки событий мониторинга; Установка, настройка экземпляров СУБД; Выявление рисков / проблем в работе СУБД и организация мероприятий по их устранению / минимизации / принятию; Разработка метрик мониторинга.","Высшее образование ( математика, информационные технологии); Опыт руководящей административной работы от 2 лет; Знания и компетенции сопровождения СУБД PostgreSQL; Опыт работы с системами мониторинга; Знания и опыт работы с автоматизацией и оптимизацией задач сопровождения.",Город Москва,Sber,2022-03-16 00:00:00
9,Системный аналитик (Data Tools),4056497,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4056497,"Сбер сегодня - это, крупнейшая цифровая экосистема. Технобренд, объединяющий лучшие мировые практики и современный стек. Сбер работает над созданием экосистемы удобных онлайн сервисов в самых разных сферах. Сейчас в нее входит более 50 компаний. Среди них: онлайн-кинотеатр Okko, сервис доставки еды Delivery Club, служба такси «Ситимобил» и многие другие. О проекте: Data Tools является одним из ключевых проектов универсальной обще-банковской платформы нового поколения Platform V. Основные задачи сервиса - обеспечение доступности и надежности платформы, управление топологией и высоконагруженная межконтурная репликация данных.","Чем предстоит заниматься: Собирать, анализировать и описывать требования; Подготавливать и согласовать технические задания; Написанием документации; Взаимодействовать с бизнес заказчиком; Проектированием и валидацией тестовых сценариев; Осуществлять аналитическое сопровождение разбора инцидентов.","Команда ожидает, что вы имеете: - Опыт работы системным аналитиком; - Опыт описания требований и подготовки проектной документации; - Практический навык работы с Confluence и Jira, или аналогами; - Понимание принципов ИТ-архитектуры и построения информационных систем; - Знание языка SQL на уровне написания простых запросов к БД Будет плюсом: - Знание нотаций JSON, XML; - Знание основных нотаций языка UML; - Знание нотации описание бизнес-процессов (BPMN или аналогов); - Приветствуется знание ООП языков программирования (Java или аналогов) - Опыт работы с Git","Город Новосибирск, Новосибирская Область",Sber,2022-03-17 00:00:00
