,title,internal_id,url,description,responsibilities,qualifications,location,category,company,publish_date
0,TiMi Studio Group - Narrative Project Game Director,5314491002,https://boards.greenhouse.io/tencent/jobs/6236635002,,"Award-winning TiMi Studio Group (Call of Duty Mobile, Pokémon Unite, Honor of Kings) seeks a versatile and experienced Game Director to take on the lead role in building the next blockbuster narrative-driven game for gaming communities around the world. As the Game Director of this AAA project, you will work closely with a Lead Writer to transform a critically acclaimed science fiction short story into a global IP. You will present innovative ideas to lead the project’s gameplay forward. You will also work closely with the core team and external production partners to spark enthusiasm and ensure clarity and efficiency throughout development. Responsibilities: - Set a high-level creative vision and product strategies, finding ways to connect on an emotional level with players, immersing themselves into the experience. - Lead the project’s gameplay and engagement systems - Manage relationships and collaboration with internal teams as well as external co-development production partners - Establish and maintain the quality bar for the design discipline across the organization. - Report to senior leadership regarding project status and product strategy, taking responsibility for internal gate reviews","Qualifications: - 10+ years of experience in AAA game design, including background as Game Director / Creative Director on high-performing titles - Led a AAA project from early concept stage to launch (new IP is a plus) - Proven track record of collaborating with cross-functional teams across all levels of management. - Science fiction enthusiast What’s in it for you? - Create the next blockbuster game with ample resources and support: Create and deliver a unique, exciting experience to players around the world with the support of one of the most successful studio groups in the world in TiMi. - Develop for global audiences to make an impression on the entire industry: Join TiMi in making AAA games that are beloved by the biggest audiences worldwide, true global hits as popular in the western world as the eastern world.",Palo Alto,Product,Tencent,2022-07-01
1,TiMi Studio Group - Lead Narrative Project Writer,5314497002,https://boards.greenhouse.io/tencent/jobs/6236656002,,"Award-winning TiMi Studio Group (Call of Duty Mobile, Pokémon Unite, Honor of Kings) seeks a versatile and experienced Lead Writer to take on a driver role in building the next blockbuster narrative-driven game for gaming communities around the world. As the Lead Writer of this AAA narrative-driven project, you will work with a Game Director closely to transform a short science fiction into a fantasy of a new IP. You will enrich the storylines and adapt to a narrative game format that players can connect emotionally and immerse themselves into the experience. You will also be the main creative mind to lead and supervise the collaboration with external production partners to deliver top-notch quality experiences that are unique and appeal to massive, global audiences. Responsibilities: - Transform a science fiction into a game fantasy - Enrich and rewrite the story to make sure it is in the format of a narrative-driven shooter game and can reach global audiences - Define world narrative elements for a new IP - Design a rich lore document from which production partners will create content for years to come - Create world building documentations containing the following elements, but not limit to: - Main Campaign story synopsis - Main Playable Characters and Antagonists biography - Important Non-Playable characters (NPCs) biography - World social and political elements","Qualifications: - 5+ years of writing experience in the gaming industry; Previous experience in creative leadership role preferred - Deep understanding and familiarity with science fiction - Rich expertise of critical aspects of the narrative design development process, including concept design, campaign story development, character development, etc. - A highly creative, collaborative, and innovative spirit. - Excellent communication and cross-cultural communication skills What’s in it for you? - Create the next blockbuster game with ample resources and support: Create and deliver a unique and exciting experience to players around the world with the support of one of the most successful studios in the world in TiMi. - Develop for global audiences and make an impression on the entire industry: Join TiMi in making games as part of an ambitious, talented, and seasoned team.",Palo Alto,Product,Tencent,2022-07-01
2,Internal Control Manager,5090582002,https://boards.greenhouse.io/tencent/jobs/5752316002,,"Responsibility: We are expanding our internal control Team globally and are seeking experienced Internal Control Managers to join our team. The new role will be based in Palo Alto or Los Angeles to meet the growing needs of Tencent overseas businesses. Risk areas covered by this role marketing activities, media expenses, PR spends, content and design, sponsorships, licensing business, as well as, privacy and data protection, compliance with regulations and policies, information security, business continuity, and process automation, among others. 1. Work independently but collaborate with our IC teams in Shenzhen / Singapore to perform risk assessments and advisory projects across diverse businesses covering financial, operational, IT and compliance risks. 2. Plan and scope internal control / advisory projects, execute project plans, facilitate business responses and action items. 3. Coordinate, lead or facilitate multiple stakeholders to agree on appropriate solutions and verify that risks are mitigated appropriately. We value creativity, insight, agile thinking, and sound business judgment.","Basic qualifications - BA in Economics, Accounting, Engineering, Finance, IT or similar fields - 5+ years of experience with Internal Control, Auditing, or Consulting - Excellent written and verbal communication in English, additional language capabilities would be advantageous - Perform well as an individual contributor, quickly learn our business and build relationships with business stakeholders. - Able to understand complex business processes, deal with high degree of ambiguity and prioritize findings and recommendations in tune with our corporate strategy. - Good analytical skills, solid business judgment, strong communication skill, and the capability to influence the organization to the right results. - Demonstrate strong project management skills to coordinate internal controls and business resources and multiple projects at once.",Palo Alto,Finance,Tencent,2022-07-01
3,Procurement Risk Manager,5181344002,https://boards.greenhouse.io/tencent/jobs/5948570002,,"Perform process assessments of procurement functions of the company, and provide optimization suggestions or plans Prepare and deliver supplier management report Set up and develop cost analysis models for all categories and evaluate price bench mark Responsible for compliance audit of company supplier admission, and conduct periodic onsite inspections on existing suppliers Lead to issue procurement-related internal control standards and policies Provide professional advices for procurement consultations from business departments. Contribute to key procurement projects regarding risk management and other support In charge of procurement procedure reviews, identify potential risks and offer controlling solutions or strategies Work on continuous optimization of procurement procedures and drive cost saving Coordinate with Audit Team to define the parts to be improved that identified in internal audit projects, follow up and report the improvement progress Promote the business staffs' awareness of procurement risks and cost control through public education and trainings","Bachelor's degree or above Having at least 5 years work experience of marketing procurement or professional procurement consulting Having deep understanding of procurement philosophy and great knowledge of procurement process and management, and having both methodologies and practices in cost control Capable to work independently on single project with strong project management ability Excellent demonstration in team-working，Strong organizational and communication skills. Advanced skills in Office contents compiling and reporting. Fluent in Mandarin and English is preferred Familiar with management frame of enterprise risks. Having professional experience in Internal Control, Audit or Financial Management. COSO background preferred Applicants with procurement certifications、 CIA, CPA、CERM etc. and internet Industry working experience preferred",Palo Alto,Finance,Tencent,2022-07-01
4,Investment Analyst Intern,5307750002,https://boards.greenhouse.io/tencent/jobs/6221090002,,"1. Assisting in industry research projects and preparing business analysis reports; 2. Tracking market trends and identifying potential investment opportunities; 3. Assisting in business due diligence, etc.","1. Proficiency in data analysis and financial analysis, able to conduct industry or company research projects independently; 2. Candidates who are able to work 3 days per week onsite and for a minimum 3 months period are highly preferable; 3. Willing to abide by the contract and abide by the specific terms of the contract regarding the working period; 4. Accepted candidates will be asked to sign NDA to ensure keeping all information including but not limited to investment projects and relevant transactions confidentiality; 5. Passionate about the Internet industry, self-driven, responsible; and critical thinking skill; 6. Bilingual in English and Mandarin is preferred (due to the business needs of corresponding with Chinese speaking colleagues in China).",Palo Alto,Strategy & Investment,Tencent,2022-06-29
5,TiMi Studio Group - North America Business Partners Team Lead / Director,5287009002,https://boards.greenhouse.io/tencent/jobs/6175217002,,"- Build a Business Partner team consisting of fellow seasoned, collaborative and inspirational AAA veteran developers and executives; - Partner with TiMi’s AAA Studio Teams with frequent communications across internal projects, conducting “sense checks” on production progress and offering constructive feedback on the games; - Diagnose and provide solutions for challenges / problems partner studios might have; - Provide insight on innovative production and product strategies to TiMi Executive leadership.","- 10+ years of experience in the gaming industry, with 3+ years as senior executive for AAA Game Studios; - Has led / overseen a AAA project from early concept stage to launch; - Proven track record of collaborating with cross-functional teams across all levels of management; - Outstanding presentation and communication skills, including to C-level audiences and occasional media exposure; - Ability to adapt to a fast paced, multicultural work environment where changes and challenges occur frequently.",Palo Alto,Strategy & Investment,Tencent,2022-06-28
6,Lightspeed LA Studio - Lead QA Engineer,5003385002,https://boards.greenhouse.io/tencent/jobs/5552366002,,"Responsibilities: Help maintain a culture of fast iteration and practical problem solving Manage a small team of engineers and QA testers and own quality of team deliverables Act as Product Owner for shared service and tools vision and maintain product roadmap Create, monitor, and control metrics impacting product and team quality Evolve iteratively existing systems into state-of-the-art solutions Work closely with teammates to design and build performant, reliable and fast iteration tools using proven practices","Requirements: Passion for games and the tech that makes them come to life 5+ years of experience as a software developer with focus on tools and services Fluency in Python and / or C# Experience in team management Experience with CI / CD pipeline solutions, automated testing, DevOps processes Ability to communicate effectively with other team leads and gather requirements Experience prioritizing problems and providing solutions High comfort level extending and improving an established code base Value lean, simple, efficient, well-tested code Preferred: Fluency in C++ Shipped a game on PC and Consoles Experience with web services, productivity, and automation tools Familiarity with AAA asset and code pipelines Familiarity with console build and deploy pipelines Experience with source control systems such as Perforce You know the job poster Reach out to let them know you’re interested Job poster profile Ben Fray 1st Senior Recruitment Manager at Tencent (Lightspeed LA - Irvine) Message",Irvine,Technology,Tencent,2022-06-27
7,Senior Software Engineer - Server & DevOps,5105292002,https://boards.greenhouse.io/tencent/jobs/5783553002,,"1. Implement automation tools and framework; including configuration and deployment management systems 2. Ensure infrastructure support for key features and workflows in collaboration with engineering and product management teams. 3. Develop, design, and support reliable, high performance online services and integrate them into Tencent’s platforms. 4. Manage day-to-day maintenance and new releases to our core infrastructure, along with conducting analyses for the purposes of maintaining and improving our CI / CD processes 5. Define and maintain proper network operations practices to ensure service delivery commitments for customers are met.","1. Proficient in scripting languages such as Python, Shell scripting. 2. Experience with Docker, Kubernetes, Ansible, and Jenkins. 3. A good understanding of microservices architecture and debugging / investigation techniques. 4. Strong understanding of system, networking and troubleshooting techniques. 5. Experience with CI / CD principles, architecture and operations. 6. Passionate about building scalable, performant, and highly available systems. 7. Experience with major cloud platforms AWS, GCP, or Azure.",Los Angeles,Technology,Tencent,2022-06-27
8,"Generalist Programmer (Engine, Animation) Intern",5000063002,https://boards.greenhouse.io/tencent/jobs/5545012002,,"1. Working closely with Sr engineer and scientists to research, design, implement and document game engine features, such as framework, animation, optimization. . 2. Developing engine feature prototypes with continuous iterations. 3. Working on commercial / proprietary engines to develop and optimize engine code on multiple platforms, such as PS5, Xbox, PC and mobile devices.","1. Knowledge of C++ and object-oriented design and implementation. Also know scripting languages such as C#, python, etc. 2. An understanding of geometry, linear algebra, and physics, and use them to control the transformations and motion in 3D space. 3. Knowledge of how processors, memory, and other hardware components work and how it relates to code. 4. Experience with basic game development technologies such as Visual Studio, and using it to debug.",Los Angeles,Technology,Tencent,2022-06-27
9,Pipeline / Tool programmer Intern,5000071002,https://boards.greenhouse.io/tencent/jobs/5578123002,,"1. Working closely with Sr. engineers to design, implement, and document game engine pipeline and tools. 2. Developing tools and workflows to support the functionalities of game systems such as rendering, sound, UI, animation, etc. 3. Developing algorithms, tools and workflows for DCC softwares such as Maya, Max, MotionBuilder.","1. Solid knowledge of C++ programming, ideally within games. Have Knowledge of other scripting languages such as c#, python. 2. Knowledge of how processors, memory, and other hardware components work and how it relates to code. 3. Experience in writing standalone tools for process automation such as data conversion or batch processing. 4. Experience with basic game development technologies such as Visual Studio, and using it to debug. Plus: 1. Experience with one of the game engines like Unreal or Unity. 2. Experience with DCC software such as Maya, Max, MotionBuilder",Los Angeles,Technology,Tencent,2022-06-27
